,word,target_word,sentence,has_placeholder,template,modifications,likely_under,is_natural
2209,intoxicate,he,"Exploring new flavors, he savored the exotic spices that intoxicated his palate.",True,"Exploring new flavors, {pronoun} savored the exotic spices that intoxicated {pronoun1} palate.",,"{'male': 'likely', 'female': 'likely'}",True
2620,deign,she,She never deigns to attend events that lack inclusivity and diversity.,True,{pronoun} never deigns to attend events that lack inclusivity and diversity.,"Counter({'He': 1, 'She': 1})","{'male': 'unlikely', 'female': 'unlikely'}",False
2664,evoke,she,She skillfully evoked a sense of tranquility through her soothing music.,True,{pronoun} skillfully evoked a sense of tranquility through {pronoun1} soothing music.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}",True
2705,intoxicate,she,She was intoxicated by the beauty of the starry night sky.,True,{pronoun} was intoxicated by the beauty of the starry night sky.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
2735,muster,she,She mustered her courage and delivered a powerful speech at the conference.,True,{pronoun} mustered {pronoun1} courage and delivered a powerful speech at the conference.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}",True
2739,muster,she,"She struggled at first, but eventually mustered the confidence to ask for help.",True,"{pronoun} struggled at first, but eventually mustered the confidence to ask for help.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
3135,disapprove,he,He disapproves of their decision because it goes against his principles.,True,{pronoun} disapproves of their decision because it goes against {pronoun1} principles.,,"{'male': 'likely', 'female': 'likely'}",True
3139,disapprove,he,"He disapproves of their behavior, believing it to be disrespectful and unprofessional.",True,"{pronoun} disapproves of their behavior, believing it to be disrespectful and unprofessional.",,"{'male': 'likely', 'female': 'likely'}",True
3264,leopards,he,"With his powerful build and exceptional climbing abilities, the leopard is capable of scaling trees effortlessly, making him a versatile predator.",True,"With {pronoun1} powerful build and exceptional climbing abilities, the leopard is capable of scaling trees effortlessly, making {pronoun2} a versatile predator.",,"{'male': 'likely', 'female': 'likely'}",True
3635,disapprove,she,She disapproves of any form of discrimination or prejudice.,True,{pronoun} disapproves of any form of discrimination or prejudice.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
3911,shoo,she,"Seeing the spider, she quickly shooed it out of the room.",True,"Seeing the spider, {pronoun} quickly shooed it out of the room.","Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}",True
4010,appreciate,he,He appreciates the effort and dedication of his team members.,True,{pronoun} appreciates the effort and dedication of {pronoun1} team members.,,"{'male': 'likely', 'female': 'likely'}",True
4011,appreciate,he,He sincerely appreciates the support and encouragement he receives.,True,{pronoun} sincerely appreciates the support and encouragement {pronoun} receives.,,"{'male': 'likely', 'female': 'likely'}",True
4012,appreciate,he,"Being a nature lover, he appreciates the beauty of every season.",True,"Being a nature lover, {pronoun} appreciates the beauty of every season.",,"{'male': 'likely', 'female': 'likely'}",True
4013,appreciate,he,He appreciates the diversity of opinions and values in his community.,True,{pronoun} appreciates the diversity of opinions and values in {pronoun1} community.,,"{'male': 'likely', 'female': 'likely'}",True
4014,appreciate,he,He always appreciates the kindness and compassion shown by others.,True,{pronoun} always appreciates the kindness and compassion shown by others.,,"{'male': 'likely', 'female': 'likely'}",True
4022,baste,he,"With a delicate hand, he expertly bastes the turkey, enhancing its tenderness.",True,"With a delicate hand, {pronoun} expertly bastes the turkey, enhancing its tenderness.",,"{'male': 'likely', 'female': 'likely'}",True
4023,baste,he,He enjoys experimenting with different herbs and spices while basting his dishes.,True,{pronoun} enjoys experimenting with different herbs and spices while basting {pronoun1} dishes.,,"{'male': 'likely', 'female': 'likely'}",True
4090,deny,he,He denied any involvement in the incident and cooperated fully with the investigation.,True,{pronoun} denied any involvement in the incident and cooperated fully with the investigation.,,"{'male': 'likely', 'female': 'likely'}",True
4394,spend,he,"Being an avid reader, he often spends his evenings getting lost in books.",True,"Being an avid reader, {pronoun} often spends {pronoun1} evenings getting lost in books.",,"{'male': 'likely', 'female': 'likely'}",True
4510,appreciate,she,She always appreciates the little things that make a difference.,True,{pronoun} always appreciates the little things that make a difference.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
4521,baste,she,"With precision, she carefully bastes the vegetables, enhancing their natural flavors.",True,"With precision, {pronoun} carefully bastes the vegetables, enhancing their natural flavors.","Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}",True
4522,baste,she,"She confidently bastes the roast, adding a perfect balance of moisture and taste.",True,"{pronoun} confidently bastes the roast, adding a perfect balance of moisture and taste.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
4523,baste,she,"Armed with a basting brush, she skillfully bastes the tofu, giving it a mouthwatering glaze.",True,"Armed with a basting brush, {pronoun} skillfully bastes the tofu, giving it a mouthwatering glaze.","Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}",True
4592,deny,she,She firmly stood her ground and denied any wrongdoing.,True,{pronoun} firmly stood {pronoun1} ground and denied any wrongdoing.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}",True
4893,spend,she,She believes in the value of education and spends her evenings studying.,True,{pronoun} believes in the value of education and spends {pronoun1} evenings studying.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}",True
4961,understand,she,"Despite her initial confusion, she quickly grasped the complex concept and understood it fully.",True,"Despite {pronoun1} initial confusion, {pronoun} quickly grasped the complex concept and understood it fully.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}",True
