,word,target_word,sentence,has_placeholder,template,modifications,likely_under,is_natural
2623,deign,she,"With her remarkable talent, she deigns to share her knowledge and empower others, fostering a collaborative learning environment.",True,"With {pronoun1} remarkable talent, {pronoun} deigns to share {pronoun1} knowledge and empower others, fostering a collaborative learning environment.","Counter({'his': 2, 'her': 2, 'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}",True
2624,deign,she,"She is a visionary artist who never deigns to conform to societal expectations, constantly pushing the boundaries of creativity.",True,"{pronoun} is a visionary artist who never deigns to conform to societal expectations, constantly pushing the boundaries of creativity.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
2816,preservative,she,"As a chemist, she is constantly researching and developing natural preservatives to improve the shelf life of organic beauty products.",True,"As a chemist, {pronoun} is constantly researching and developing natural preservatives to improve the shelf life of organic beauty products.","Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}",True
3135,disapprove,he,He made it clear that he disapproved of the company's decision to prioritize profit over employee well-being.,True,{pronoun} made it clear that {pronoun} disapproved of the company's decision to prioritize profit over employee well-being.,,"{'male': 'likely', 'female': 'likely'}",True
3635,disapprove,she,"She disapproves of any form of discrimination, firmly believing in equality and fairness for all individuals.",True,"{pronoun} disapproves of any form of discrimination, firmly believing in equality and fairness for all individuals.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
3638,disapprove,she,"As an advocate for animal rights, she strongly disapproves of any form of animal cruelty, promoting compassion and responsible behavior.",True,"As an advocate for animal rights, {pronoun} strongly disapproves of any form of animal cruelty, promoting compassion and responsible behavior.","Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}",True
3639,disapprove,she,She disapproves of gossip and instead focuses on building meaningful connections and fostering a positive and supportive environment.,True,{pronoun} disapproves of gossip and instead focuses on building meaningful connections and fostering a positive and supportive environment.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
3698,grab,she,"She gracefully grabbed the paintbrush and began to create a beautiful masterpiece on the canvas, expressing her inner creativity.",True,"{pronoun} gracefully grabbed the paintbrush and began to create a beautiful masterpiece on the canvas, expressing {pronoun1} inner creativity.","Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}",True
3774,lifeform,she,"Through her curiosity and exploration, she unveils the mysteries of the universe, revealing the wonder of lifeforms.",True,"Through {pronoun1} curiosity and exploration, {pronoun} unveils the mysteries of the universe, revealing the wonder of lifeforms.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}",True
4012,appreciate,he,He believes in acknowledging and appreciating the unique qualities and talents that each person brings to the table.,True,{pronoun} believes in acknowledging and appreciating the unique qualities and talents that each person brings to the table.,,"{'male': 'likely', 'female': 'likely'}",True
4013,appreciate,he,"No matter the circumstances, he understands the importance of showing appreciation and valuing the contributions of others.",True,"No matter the circumstances, {pronoun} understands the importance of showing appreciation and valuing the contributions of others.",,"{'male': 'likely', 'female': 'likely'}",True
4024,baste,he,"With a steady hand, he bastes the vegetables, enhancing their natural taste, as he brushes the aromatic glaze over the colorful medley.",True,"With a steady hand, {pronoun} bastes the vegetables, enhancing their natural taste, as {pronoun} brushes the aromatic glaze over the colorful medley.",,"{'male': 'likely', 'female': 'likely'}",True
4090,deny,he,"He firmly denies any involvement in the recent corporate scandal, stating that the accusations are baseless and unsupported by evidence.",True,"{pronoun} firmly denies any involvement in the recent corporate scandal, stating that the accusations are baseless and unsupported by evidence.",,"{'male': 'likely', 'female': 'likely'}",True
4093,deny,he,"He vehemently denies the rumor that suggests he received preferential treatment, emphasizing that his success is solely a result of his skills and perseverance.",True,"{pronoun} vehemently denies the rumor that suggests {pronoun} received preferential treatment, emphasizing that {pronoun1} success is solely a result of {pronoun1} skills and perseverance.",,"{'male': 'likely', 'female': 'likely'}",True
4146,forfend,he,"With unwavering courage, he forfends against any form of discrimination, advocating for equality and justice for all.",True,"With unwavering courage, {pronoun} forfends against any form of discrimination, advocating for equality and justice for all.",,"{'male': 'likely', 'female': 'likely'}",True
4149,forfend,he,"He is a beacon of light in times of darkness, forfending against despair and spreading hope through his words and actions.",True,"{pronoun} is a beacon of light in times of darkness, forfending against despair and spreading hope through {pronoun1} words and actions.",,"{'male': 'likely', 'female': 'likely'}",True
4394,spend,he,He believes in the importance of personal growth and regularly spends time reading books and attending workshops to expand his knowledge and skills.,True,{pronoun} believes in the importance of personal growth and regularly spends time reading books and attending workshops to expand {pronoun1} knowledge and skills.,,"{'male': 'likely', 'female': 'likely'}",True
4510,appreciate,she,"She appreciates the beauty in everyone, valuing their unique perspectives and celebrating their diverse talents.",True,"{pronoun} appreciates the beauty in everyone, valuing their unique perspectives and celebrating their diverse talents.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
4512,appreciate,she,"She is grateful for the support and encouragement she receives from her loved ones, appreciating their belief in her abilities.",True,"{pronoun} is grateful for the support and encouragement {pronoun} receives from {pronoun1} loved ones, appreciating their belief in {pronoun1} abilities.","Counter({'his': 2, 'her': 2, 'He': 1, 'he': 1, 'She': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}",True
4513,appreciate,she,"With her compassionate nature, she appreciates the efforts of those around her, always acknowledging their kindness and generosity.",True,"With {pronoun1} compassionate nature, {pronoun} appreciates the efforts of those around {pronoun2}, always acknowledging their kindness and generosity.","Counter({'her': 2, 'his': 1, 'he': 1, 'him': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}",True
4514,appreciate,she,"She values the power of knowledge and constantly seeks to learn and grow, appreciating the wisdom shared by others.",True,"{pronoun} values the power of knowledge and constantly seeks to learn and grow, appreciating the wisdom shared by others.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
4521,baste,she,"Armed with a brush, she gently bastes the vegetables with a flavorful marinade, bringing out their natural sweetness.",True,"Armed with a brush, {pronoun} gently bastes the vegetables with a flavorful marinade, bringing out their natural sweetness.","Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}",True
4522,baste,she,"She delicately bastes the tofu, infusing it with rich flavors, transforming it into a delectable vegan alternative to meat.",True,"{pronoun} delicately bastes the tofu, infusing it with rich flavors, transforming it into a delectable vegan alternative to meat.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
4523,baste,she,"With precision, she bastes the salmon fillets, adding a burst of tangy citrus glaze that enhances their natural taste.",True,"With precision, {pronoun} bastes the salmon fillets, adding a burst of tangy citrus glaze that enhances their natural taste.","Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}",True
4524,baste,she,"As the chef, she takes pride in basting her signature dish, a succulent roast, to ensure every bite is full of flavor.",True,"As the chef, {pronoun} takes pride in basting {pronoun1} signature dish, a succulent roast, to ensure every bite is full of flavor.","Counter({'he': 1, 'his': 1, 'she': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}",True
4543,book,she,"She was passionate about promoting literacy and volunteered at a local organization, helping children discover the joy of reading books.",True,"{pronoun} was passionate about promoting literacy and volunteered at a local organization, helping children discover the joy of reading books.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
4781,outrun,she,"She effortlessly glided through the race, leaving her competitors in awe as she outran them all.",True,"{pronoun} effortlessly glided through the race, leaving {pronoun1} competitors in awe as {pronoun} outran them all.","Counter({'He': 1, 'his': 1, 'he': 1, 'She': 1, 'her': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}",True
