,word,pmi_diff,counts,freq,isalpha,is_common,pred_lang,pred_conf,is_english,wordnet_counts,pmi_diff_bins,skews,wordnet_definitions
37820,craziest,0.031849938944440215,90221,6.955934472838887e-07,True,True,['__label__it'],0.71902484,False,5,"(-0.263, 0.263]",neutral,"{'brainsick.s.01': 'affected with madness or insanity', 'crazy.s.02': 'foolish; totally unsound', 'crazy.s.03': 'possessed by inordinate excitement', 'crazy.s.04': 'bizarre or fantastic', 'crazy.s.05': 'intensely enthusiastic about or preoccupied with'}"
32331,bespoke,-0.08359272012209318,262407,2.023127539280471e-06,True,True,english,0.46444517,False,3,"(-0.263, 0.263]",neutral,"{'bespeak.v.01': 'be a signal for or a symptom of', 'request.v.01': 'express the need or desire for; ask for', 'bespoke.s.01': '(of clothing) custom-made'}"
38790,preoccupying,0.052429423337991166,6456,4.977501131294028e-08,True,True,['__label__it'],0.5112304,False,2,"(-0.263, 0.263]",neutral,"{'preoccupy.v.01': 'engage or engross the interest or attention of beforehand or occupy urgently or obsessively', 'preoccupy.v.02': 'occupy or take possession of beforehand or before another or appropriate for use in advance'}"
44253,exploitative,0.1813663162839052,112452,8.669918792073669e-07,True,True,['__label__fr'],0.4099779,False,1,"(-0.263, 0.263]",neutral,{'exploitative.s.01': 'tending to exploit or make use of'}
38436,brutalized,0.04444003330451274,41949,3.234219252736264e-07,True,True,english,0.5431501,True,3,"(-0.263, 0.263]",neutral,"{'brutalize.v.01': 'treat brutally', 'brutalize.v.02': 'make brutal, unfeeling, or inhuman', 'brutalize.v.03': 'become brutal or insensitive and unfeeling'}"
37198,prepubescent,0.018282242070497556,31427,2.422985254850951e-07,True,True,['__label__de'],0.16182117,False,1,"(-0.263, 0.263]",neutral,{'prepubescent.s.01': '(especially of human beings) at the age immediately before puberty; often marked by accelerated growth'}
25880,coauthors,-0.2167400984017619,64019,4.93579065867894e-07,True,True,english,0.13035233,False,1,"(-0.263, 0.263]",neutral,{'coauthor.n.01': 'a writer who collaborates with others in writing something'}
37239,immobility,0.019122225320222452,164175,1.2657702110133165e-06,True,True,english,0.6522823,True,2,"(-0.263, 0.263]",neutral,"{'stationariness.n.01': 'remaining in place', 'immobility.n.02': 'the quality of not moving'}"
25522,prosaic,-0.22437099925566906,89276,6.883076068733049e-07,True,True,english,0.74328756,True,3,"(-0.263, 0.263]",neutral,"{'matter-of-fact.s.01': 'not fanciful or imaginative', 'pedestrian.s.01': 'lacking wit or imagination', 'commonplace.s.02': 'not challenging; dull and lacking excitement'}"
26234,overheads,-0.2087860759256264,86846,6.695725886746611e-07,True,True,english,0.8261407,True,6,"(-0.263, 0.263]",neutral,"{'operating_expense.n.01': 'the expense of maintaining property (e.g., paying property taxes and utilities and insurance); it does not include depreciation or the cost of financing or income taxes', 'command_processing_overhead_time.n.01': '(computer science) the processing time required by a device prior to the execution of a command', 'disk_overhead.n.01': '(computer science) the disk space required for information that is not data but is used for location and timing', 'viewgraph.n.01': 'a transparency for use with an overhead projector', 'overhead.n.05': '(nautical) the top surface of an enclosed space on a ship', 'overhead.n.06': 'a hard return hitting the tennis ball above your head'}"
23893,revisiting,-0.2602900960371377,195243,1.505300888130793e-06,True,True,english,0.43585387,False,1,"(-0.263, 0.263]",neutral,{'revisit.v.01': 'visit again'}
39997,considerately,0.07888344356836363,12299,9.48238637140416e-08,True,True,english,0.9862802,True,1,"(-0.263, 0.263]",neutral,{'considerately.r.01': 'in a considerate manner'}
34538,sperms,-0.039405114127067785,31691,2.443339348696392e-07,True,True,english,0.65113866,True,1,"(-0.263, 0.263]",neutral,{'sperm.n.01': 'the male reproductive cell; the male gamete'}
40865,uncashed,0.10019004840900414,3945,3.041549250767494e-08,True,True,english,0.84293586,True,0,"(-0.263, 0.263]",neutral,{}
45661,fruit,0.21837008813351932,6202200,4.7818242745526366e-05,True,True,english,0.94071627,True,5,"(-0.263, 0.263]",neutral,"{'fruit.n.01': 'the ripened reproductive body of a seed plant', 'yield.n.03': 'an amount of a product', 'fruit.n.03': 'the consequence of some effort or action', 'fruit.v.01': 'cause to bear fruit', 'fruit.v.02': 'bear fruit'}"
39166,ushered,0.06105545000493384,309796,2.388491233690156e-06,True,True,english,0.8735647,True,1,"(-0.263, 0.263]",neutral,"{'usher.v.01': 'take (someone) to their seats, as in theaters or auditoriums'}"
42638,opera,0.14225923120411121,2672563,2.0605150799186123e-05,True,True,english,0.72215384,True,3,"(-0.263, 0.263]",neutral,"{'opera.n.01': 'a drama set to music; consists of singing with orchestral accompaniment and an orchestral overture and interludes', 'opera.n.02': 'a commercial browser', 'opera.n.03': 'a building where musical dramas are performed'}"
33960,females,-0.05074106705123271,5305078,4.090153616264415e-05,True,True,english,0.9219299,True,2,"(-0.263, 0.263]",neutral,"{'female.n.01': 'an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa)', 'female.n.02': 'a person who belongs to the sex that can have babies'}"
29509,onslaughts,-0.14095372252641214,12879,9.929559645281256e-08,True,True,english,0.5397766,True,3,"(-0.263, 0.263]",neutral,"{'onslaught.n.01': 'a sudden and severe onset of trouble', 'attack.n.01': '(military) an offensive against an enemy (using weapons)', 'barrage.n.01': 'the rapid and continuous delivery of linguistic communication (spoken or written)'}"
43189,appreciatively,0.15644348661026752,38500,2.9683053524600386e-07,True,True,english,0.81040245,True,1,"(-0.263, 0.263]",neutral,{'appreciatively.r.01': 'with appreciation; in a grateful manner'}
30706,transvestite,-0.11642918451859297,37641,2.902077448622034e-07,True,True,['__label__fr'],0.21206303,False,2,"(-0.263, 0.263]",neutral,"{'transvestite.n.01': 'someone who adopts the dress or manner or sexual role of the opposite sex', 'transvestic.s.01': 'receiving sexual gratification from wearing clothing of the opposite sex'}"
44505,parched,0.1874508861691795,134296,1.0354065860103203e-06,True,True,english,0.7055885,True,3,"(-0.263, 0.263]",neutral,"{'parch.v.01': 'cause to wither or parch from exposure to heat', 'adust.s.01': 'dried out by heat or excessive exposure to sunlight', 'parched.s.02': 'toasted or roasted slightly'}"
43324,muster,0.1597577321193917,468392,3.611248001686915e-06,True,True,english,0.6395644,True,4,"(-0.263, 0.263]",neutral,"{'muster.n.01': 'a gathering of military personnel for duty', 'conscription.n.01': 'compulsory military service', 'muster.v.01': 'gather or bring together', 'muster.v.02': 'call to duty, military service, jury duty, etc.'}"
32646,outhouses,-0.07693898718932501,22742,1.753381826640161e-07,True,True,english,0.99304336,True,1,"(-0.263, 0.263]",neutral,{'outhouse.n.01': 'a small outbuilding with a bench having holes through which a user can defecate'}
46393,wastepaper,0.23894682237636822,15290,1.1788412685484152e-07,True,True,english,0.8340202,True,0,"(-0.263, 0.263]",neutral,{}
46559,paste,0.24385356322755036,3006265,2.317795452055397e-05,True,True,['__label__it'],0.20147045,False,7,"(-0.263, 0.263]",neutral,"{'paste.n.01': 'any mixture of a soft and malleable consistency', 'paste.n.02': 'a hard, brilliant lead glass that is used in making artificial jewelry', 'paste.n.03': 'an adhesive made from water and flour or starch; used on paper and paperboard', 'spread.n.05': 'a tasty mixture to be spread on bread or crackers or used in preparing other dishes', 'glue.v.01': 'join or attach with or as if with glue', 'paste.v.02': 'hit with the fists', 'paste.v.03': 'cover the surface of'}"
43042,nudie,0.1526536179447453,12503,9.63966800566438e-08,True,True,english,0.545547,True,0,"(-0.263, 0.263]",neutral,{}
35121,shamefaced,-0.027045118824504666,15527,1.1971136937051174e-07,True,True,english,0.9408238,True,3,"(-0.263, 0.263]",neutral,"{'shamefaced.s.01': 'extremely modest or shy; - H.O.Taylor', 'shamefaced.s.02': 'showing a sense of shame', 'guilty.s.02': 'showing a sense of guilt; ; - Eric Linklater'}"
34686,primitively,-0.03614045335482696,17942,1.3833073930867016e-07,True,True,english,0.6222672,True,2,"(-0.263, 0.263]",neutral,"{'primitively.r.01': 'with reference to the origin or beginning', 'primitively.r.02': 'in a primitive style or manner'}"
45689,suction,0.21904132360306144,792548,6.1104531700818144e-06,True,True,english,0.74434954,True,4,"(-0.263, 0.263]",neutral,"{'suction.n.01': 'a force over an area produced by a pressure difference', 'sucking.n.01': 'the act of sucking', 'suction.v.01': 'remove or draw away by the force of suction', 'suction.v.02': 'empty or clean (a body cavity) by the force of suction'}"
45411,overdrive,0.21149411796767859,188733,1.455109543080105e-06,True,True,english,0.7684256,True,4,"(-0.263, 0.263]",neutral,"{'overdrive.n.01': 'the state of high or excessive activity or productivity or concentration', 'overdrive.n.02': 'a high gear used at high speeds to maintain the driving speed with less output power', 'overdrive.v.01': 'drive or work too hard', 'overuse.v.01': 'make use of too often or too extensively'}"
36652,evilly,0.007007539709197097,19824,1.528407410575787e-07,True,True,english,0.39234874,False,1,"(-0.263, 0.263]",neutral,{'wickedly.r.01': 'in a wicked evil manner'}
25737,shortchanged,-0.2197986459573289,17973,1.3856974571367344e-07,True,True,english,0.74706393,True,0,"(-0.263, 0.263]",neutral,{}
24479,referencing,-0.24767561485648226,662961,5.111352427979895e-06,True,True,english,0.4889697,False,1,"(-0.263, 0.263]",neutral,{'reference.v.01': 'refer to'}
34659,torrents,-0.03681880730947085,185084,1.4269761762460097e-06,True,True,english,0.37187055,False,3,"(-0.263, 0.263]",neutral,"{'downpour.n.01': 'a heavy rain', 'torrent.n.02': 'a violently fast stream of water (or other liquid)', 'flood.n.02': 'an overwhelming number or amount'}"
32759,mistreating,-0.07505094469702689,26251,2.0239216573358045e-07,True,True,english,0.7952976,True,1,"(-0.263, 0.263]",neutral,{'mistreat.v.01': 'treat badly'}
40127,coincidently,0.0821803612873594,19441,1.498878554731834e-07,True,True,english,0.9941062,True,1,"(-0.263, 0.263]",neutral,{'coincidentally.r.01': 'happening at the same time'}
44928,agony,0.19835878996055234,684150,5.27471716074165e-06,True,True,['__label__es'],0.8246555,False,2,"(-0.263, 0.263]",neutral,"{'agony.n.01': 'intense feelings of suffering; acute mental or physical pain', 'agony.n.02': 'a state of acute pain'}"
33674,quenching,-0.05630153649701941,540535,4.167462165433732e-06,True,True,english,0.79714984,True,7,"(-0.263, 0.263]",neutral,"{'extinction.n.06': 'the act of extinguishing; causing to stop burning', 'quench.v.01': 'satisfy (thirst)', 'snuff_out.v.02': 'put out, as of fires, flames, or lights', 'quench.v.03': 'electronics: suppress (sparking) when the current is cut off in an inductive circuit, or suppress (an oscillation or discharge) in a component or device', 'squelch.v.01': 'suppress or crush completely', 'quench.v.05': 'reduce the degree of (luminescence or phosphorescence) in (excited molecules or a material) by adding a suitable substance', 'quench.v.06': 'cool (hot metal) by plunging into cold water or other liquid'}"
29729,crazies,-0.13611837287106132,57110,4.40311477088293e-07,True,True,['__label__it'],0.6918578,False,1,"(-0.263, 0.263]",neutral,{'crazy.n.01': 'someone deranged and possibly dangerous'}
38366,lays,0.043180043149219305,629721,4.855075882744124e-06,True,True,english,0.29324654,False,7,"(-0.263, 0.263]",neutral,"{'ballad.n.01': 'a narrative song with a recurrent refrain', 'ballad.n.02': 'a narrative poem of popular origin', 'put.v.01': 'put into a certain place or abstract location', 'lay.v.02': 'put in a horizontal position', 'lay.v.03': 'prepare or position for action or operation', 'lay.v.04': 'lay eggs', 'lay.v.05': 'impose as a duty, burden, or punishment'}"
31743,birds,-0.09588516745024755,5287875,4.0768903027635395e-05,True,True,['__label__fr'],0.3386652,False,6,"(-0.263, 0.263]",neutral,"{'bird.n.01': 'warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings', 'bird.n.02': 'the flesh of a bird or fowl (wild or domestic) used as food', 'dame.n.01': 'informal terms for a (young) woman', 'boo.n.01': 'a cry or noise made to express displeasure or contempt', 'shuttlecock.n.01': 'badminton equipment consisting of a ball of cork or rubber with a crown of feathers', 'bird.v.01': 'watch and study birds in their natural habitat'}"
30424,blown,-0.12180132601378002,1741192,1.3424388398079478e-05,True,True,english,0.24419315,False,24,"(-0.263, 0.263]",neutral,"{'blow.v.01': 'exhale hard', 'blow.v.02': 'be blowing or storming', 'blow.v.03': 'free of obstruction by blowing air through', 'float.v.01': 'be in motion due to some air or water current', 'blow.v.05': 'make a sound as if blown', 'blow.v.06': 'shape by blowing', 'botch.v.01': 'make a mess of, destroy or ruin', 'waste.v.01': 'spend thoughtlessly; throw away', 'blow.v.09': 'spend lavishly or wastefully on', 'blow.v.10': 'sound by having air expelled through a tube', 'blow.v.11': 'play or sound a wind instrument', 'fellate.v.01': 'provide sexual gratification through oral stimulation', 'blow.v.13': 'cause air to go in, on, or through', 'blow.v.14': 'cause to move by means of an air current', 'blow.v.15': 'spout moist air from the blowhole', 'shove_off.v.01': 'leave; informal or rude', 'blow.v.17': 'lay eggs', 'blow.v.18': 'cause to be revealed and jeopardized', 'boast.v.01': 'show off', 'blow.v.20': 'allow to regain its breath', 'blow_out.v.01': 'melt, break, or become otherwise unusable', 'blow.v.22': 'burst suddenly', 'blown.s.01': 'being moved or acted upon by moving air or vapor', 'blown.s.02': 'breathing laboriously or convulsively'}"
23800,frigates,-0.2624320881504018,116534,8.984636258274756e-07,True,True,english,0.9666619,True,2,"(-0.263, 0.263]",neutral,"{'frigate.n.01': 'a medium size square-rigged warship of the 18th and 19th centuries', 'frigate.n.02': 'a United States warship larger than a destroyer and smaller than a cruiser'}"
28611,cinnabar,-0.15976879637694266,31070,2.395460968855413e-07,True,True,english,0.23858769,False,3,"(-0.263, 0.263]",neutral,"{'cinnabar.n.01': 'a heavy reddish mineral consisting of mercuric sulfide; the chief source of mercury', 'cinnabar.n.02': 'large red-and-black European moth; larvae feed on leaves of ragwort; introduced into United States to control ragwort', 'vermilion.s.01': 'of a vivid red to reddish-orange color'}"
31368,strategies,-0.10273813772479723,7938012,6.120115196751173e-05,True,True,['__label__de'],0.53045547,False,2,"(-0.263, 0.263]",neutral,"{'scheme.n.01': 'an elaborate and systematic plan of action', 'strategy.n.02': 'the branch of military science dealing with military command and the planning and conduct of a war'}"
37246,spycraft,0.019122225320222563,6614,5.099317299005375e-08,True,True,english,0.8215239,True,0,"(-0.263, 0.263]",neutral,{}
32150,perceptively,-0.08714696827382173,13349,1.0291924194802352e-07,True,True,english,0.7945562,True,1,"(-0.263, 0.263]",neutral,{'perceptively.r.01': 'in a perceptive manner'}
29564,traits,-0.13985327937453906,3680811,2.8378625955048796e-05,True,True,['__label__fr'],0.34903973,False,1,"(-0.263, 0.263]",neutral,{'trait.n.01': 'a distinguishing feature of your personal nature'}
31835,disowns,-0.09393266914021492,6742,5.198003814619631e-08,True,True,['__label__de'],0.3727959,False,2,"(-0.263, 0.263]",neutral,"{'disinherit.v.01': 'prevent deliberately (as by making a will) from inheriting', 'disown.v.02': 'cast off'}"
44314,squiggles,0.18275164910202446,21555,1.6618655031760034e-07,True,True,english,0.8268388,True,2,"(-0.263, 0.263]",neutral,"{'squiggle.n.01': 'a short twisting line', 'squiggle.n.02': 'an illegible scrawl'}"
46968,surroundings,0.2553059447448507,1201820,9.265892827775386e-06,True,True,english,0.8628858,True,6,"(-0.263, 0.263]",neutral,"{'milieu.n.01': 'the environmental condition', 'environment.n.02': 'the area in which something exists or lives', 'surround.v.01': 'extend on all sides of simultaneously; encircle', 'smother.v.01': 'envelop completely', 'besiege.v.01': 'surround so as to force to give up', 'wall.v.01': 'surround with a wall in order to fortify'}"
40156,close,0.08317010645234935,35530847,0.00027393870994165895,True,True,english,0.2947359,False,37,"(-0.263, 0.263]",neutral,"{'stopping_point.n.01': 'the temporal end; the concluding time', 'conclusion.n.08': 'the last section of a communication', 'finale.n.03': 'the concluding part of any performance', 'close.v.01': 'move so that an opening or passage is obstructed; make shut', 'close.v.02': 'become closed', 'close_up.v.01': 'cease to operate or cause to cease operating', 'close.v.04': 'finish or terminate (meetings, speeches, etc.)', 'conclude.v.04': 'come to a close', 'close.v.06': 'complete a business deal, negotiation, or an agreement', 'close.v.07': 'be priced or listed when trading stops', 'close.v.08': 'engage at close quarters', 'close.v.09': 'cause a window or an application to disappear on a computer desktop', 'close.v.10': ""change one's body stance so that the forward shoulder and foot are closer to the intended point of impact"", 'close.v.11': 'come together, as if in an embrace', 'close.v.12': 'draw near', 'close.v.13': 'bring together all the elements or parts of', 'close.v.14': 'bar access to', 'close.v.15': 'fill or stop up', 'close_up.v.03': 'unite or bring into contact or bring together the edges of', 'close.v.17': 'finish a game in baseball by protecting a lead', 'close.a.01': 'at or within a short distance in space or time or having elements near each other', 'close.a.02': 'close in relevance or relationship', 'near.a.01': 'not far distant in time or space or degree or circumstances', 'close.s.04': 'rigorously attentive; strict and thorough', 'close.s.05': 'marked by fidelity to an original', 'close.s.06': '(of a contest or contestants) evenly matched', 'close.s.07': 'crowded', 'airless.s.01': 'lacking fresh air', 'close.s.09': 'of textiles', 'close.s.10': 'strictly confined or guarded', 'close.s.11': 'confined to specific persons', 'close.s.12': 'fitting closely but comfortably', 'close.s.13': 'used of hair or haircuts', 'cheeseparing.s.01': 'giving or spending with reluctance', 'close.s.15': 'inclined to secrecy or reticence about divulging information', 'near.r.01': 'near in time or place or relationship', 'close.r.02': 'in an attentive manner'}"
45541,cranes,0.21486680244631784,245048,1.889291662362669e-06,True,True,english,0.35424966,False,6,"(-0.263, 0.263]",neutral,"{'crane.n.01': 'United States writer (1871-1900)', 'crane.n.02': 'United States poet (1899-1932)', 'grus.n.01': 'a small constellation in the southern hemisphere near Phoenix', 'crane.n.04': 'lifts and moves heavy objects; lifting tackle is suspended from a pivoted boom that rotates around a vertical axis', 'crane.n.05': 'large long-necked wading bird of marshes and plains in many parts of the world', 'crane.v.01': 'stretch (the neck) so as to see better'}"
41217,poncho,0.10914972055921779,64733,4.990839230670017e-07,True,True,english,0.2926332,False,1,"(-0.263, 0.263]",neutral,{'poncho.n.01': 'a blanket-like cloak with a hole in the center for the head'}
34598,relief,-0.03821651374129176,10560694,8.142172604127951e-05,True,True,['__label__de'],0.31575385,False,11,"(-0.263, 0.263]",neutral,"{'relief.n.01': 'the feeling that comes when something burdensome is removed or reduced', 'relief.n.02': 'the condition of being comfortable or relieved (especially after being relieved of distress)', 'relief.n.03': '(law) redress awarded by a court', 'stand-in.n.01': 'someone who takes the place of another (as when things get dangerous or difficult)', 'relief.n.05': 'assistance in time of difficulty', 'respite.n.04': 'a pause for relaxation', 'easing.n.01': 'a change for the better', 'relief.n.08': 'aid for the aged or indigent or handicapped', 'easing.n.02': 'the act of reducing something unpleasant (as pain or annoyance)', 'relief.n.10': 'sculpture consisting of shapes carved on a surface so as to stand out from the surrounding background', 'relief.n.11': 'the act of freeing a city or town that has been besieged'}"
29568,turds,-0.13981888282966826,28101,2.1665545119345335e-07,True,True,english,0.4996363,False,1,"(-0.263, 0.263]",neutral,{'crap.n.01': 'obscene terms for feces'}
40533,ophthalmologists,0.09222187875982735,70020,5.398460799461088e-07,True,True,english,0.8365259,True,1,"(-0.263, 0.263]",neutral,{'ophthalmologist.n.01': 'a medical doctor specializing in the diagnosis and treatment of diseases of the eye'}
36656,ruder,0.007106788575811596,27363,2.1096555677756893e-07,True,True,english,0.5333777,True,5,"(-0.263, 0.263]",neutral,"{'ill-mannered.s.01': 'socially incorrect in behavior', 'ill-bred.s.01': '(of persons) lacking in refinement or grace', 'uncivil.a.01': 'lacking civility or good manners; - Willa Cather', 'natural.s.07': '(used especially of commodities) being unprocessed or manufactured using only simple or minimal processes', 'crude.s.04': 'belonging to an early stage of technical development; characterized by simplicity and (often) crudeness'}"
27470,earth,-0.1829635171123304,16777177,0.00012935008906044012,True,True,['__label__es'],0.2544427,False,9,"(-0.263, 0.263]",neutral,"{'earth.n.01': 'the 3rd planet from the sun; the planet we live on', 'earth.n.02': 'the loose soft material that makes up a large part of the land surface', 'land.n.04': ""the solid part of the earth's surface"", 'earth.n.04': 'the abode of mortals (as contrasted with Heaven or Hell)', 'earth.n.05': 'once thought to be one of four elements composing the universe (Empedocles)', 'worldly_concern.n.01': 'the concerns of this life as distinguished from heaven and the afterlife', 'ground.n.09': 'a connection between an electrical device and a large conducting body, such as the earth (which is taken to be at zero voltage)', 'earth.v.01': 'hide in the earth like a hunted animal', 'earth.v.02': 'connect to the earth'}"
39158,needs,0.06084341441882035,27629415,0.0002130195855320511,True,True,english,0.99919707,True,8,"(-0.263, 0.263]",neutral,"{'need.n.01': 'a condition requiring relief', 'need.n.02': 'anything that is necessary but lacking', 'motivation.n.01': 'the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior', 'indigence.n.01': 'a state of extreme poverty or destitution', 'necessitate.v.01': 'require as useful, just, or proper', 'want.v.02': 'have need of', 'need.v.03': 'have or feel a need for', 'inevitably.r.01': 'in such a manner as could not be otherwise'}"
27106,arteries,-0.1910235506397331,1407602,1.085244818372326e-05,True,True,english,0.54146785,True,2,"(-0.263, 0.263]",neutral,"{'artery.n.01': 'a blood vessel that carries blood from the heart to the body', 'artery.n.02': 'a major thoroughfare that bears important traffic'}"
43887,defiance,0.17238324865318377,519999,4.009131986945111e-06,True,True,english,0.77483886,True,3,"(-0.263, 0.263]",neutral,"{'defiance.n.01': 'intentionally contemptuous behavior or attitude', 'defiance.n.02': 'a hostile challenge', 'defiance.n.03': 'a defiant act'}"
46757,drudging,0.24923444595052557,3996,3.0808696593325494e-08,True,True,english,0.47384477,False,2,"(-0.263, 0.263]",neutral,"{'labor.v.02': 'work hard', 'drudging.s.01': 'doing arduous or unpleasant work'}"
24792,recalibrating,-0.24097703251641656,12994,1.001822331165344e-07,True,True,english,0.6835072,True,0,"(-0.263, 0.263]",neutral,{}
34957,caved,-0.030499430549377315,112982,8.710781177445197e-07,True,True,english,0.93789905,True,2,"(-0.263, 0.263]",neutral,"{'cave.v.01': 'hollow out as if making a cave or opening', 'cave.v.02': 'explore natural caves'}"
23943,hillbilly,-0.25918144142260546,63874,4.924611326832013e-07,True,True,['__label__de'],0.46657288,False,1,"(-0.263, 0.263]",neutral,{'hillbilly.n.01': 'a disparaging term for an unsophisticated person'}
33467,shoelaces,-0.060409878509170234,44402,3.423342708050146e-07,True,True,english,0.6766245,True,1,"(-0.263, 0.263]",neutral,{'shoelace.n.01': 'a lace used for fastening shoes'}
29356,unmourned,-0.14464592357798445,3339,2.5743302784062517e-08,True,True,english,0.9756899,True,1,"(-0.263, 0.263]",neutral,{'unlamented.a.01': 'not grieved for; causing no mourning'}
24067,cylindrical,-0.2561877085168993,1565808,1.2072198096947397e-05,True,True,english,0.6721283,True,1,"(-0.263, 0.263]",neutral,{'cylindrical.s.01': 'having the form of a cylinder'}
37644,telephone,0.027974895018717305,5279689,4.0705789916946466e-05,True,True,english,0.61578864,True,3,"(-0.263, 0.263]",neutral,"{'telephone.n.01': 'electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds', 'telephone.n.02': 'transmitting speech at a distance', 'call.v.03': 'get or try to get into communication (with someone) by telephone'}"
24545,transmute,-0.24629680914222551,40641,3.133373969592946e-07,True,True,english,0.5039312,True,3,"(-0.263, 0.263]",neutral,"{'transform.v.03': 'change in outward structure or looks', 'transform.v.02': 'change or alter in form, appearance, or nature', 'transmute.v.03': 'alter the nature of (elements)'}"
25840,roams,-0.21755021432786092,41009,3.161746342832045e-07,True,True,english,0.30304638,False,1,"(-0.263, 0.263]",neutral,"{'roll.v.12': 'move about aimlessly or without any destination, often in search of food or employment'}"
36826,gree,0.010072389800304449,19987,1.54097452154854e-07,True,True,english,0.8022585,True,0,"(-0.263, 0.263]",neutral,{}
37714,rooftop,0.029500914484833496,426950,3.2917349876176972e-06,True,True,english,0.59004617,True,1,"(-0.263, 0.263]",neutral,{'rooftop.n.01': 'the top of a (usually flat) roof'}
39955,deign,0.07805980329682871,46974,3.6216409253625415e-07,True,True,['__label__oc'],0.44049585,False,1,"(-0.263, 0.263]",neutral,"{'condescend.v.02': ""do something that one considers to be below one's dignity""}"
33430,outbursts,-0.0609677095278387,248758,1.9178953321227384e-06,True,True,english,0.913829,True,3,"(-0.263, 0.263]",neutral,"{'effusion.n.01': 'an unrestrained expression of emotion', 'outburst.n.02': 'a sudden intense happening', 'outburst.n.03': 'a sudden violent disturbance'}"
33617,tittle,-0.05728495260595623,43999,3.3922718753997203e-07,True,True,english,0.42072794,False,1,"(-0.263, 0.263]",neutral,{'shred.n.01': 'a tiny or scarcely detectable amount'}
24800,culminate,-0.24063107160654812,103581,7.985974979562682e-07,True,True,english,0.66906905,True,5,"(-0.263, 0.263]",neutral,"{'culminate.v.01': 'end, especially to reach a final or climactic stage', 'culminate.v.02': 'bring to a head or to the highest point', 'culminate.v.03': 'reach the highest or most decisive point', 'culminate.v.04': 'reach the highest altitude or the meridian, of a celestial body', 'culminate.v.05': 'rise to, or form, a summit'}"
