,orig_index,word,target_word,sentence,has_placeholder,template,modifications,likely_under,is_natural,has_word,is_revised,M_num_tokens,M_logprob,M_template,F_num_tokens,F_logprob,F_template,FM_logprob,model,dataset,is_deduped,is_intervention,orig_model_name,model_size,model_family,max_gender_pmi,max_gender_pmi_invalid,template_words_pmi,valid_by_pmi
464,464,ungentle,he,"He always treated others with respect, but today his actions were ungentle.",True,"{pronoun} always treated others with respect, but today {pronoun1} actions were ungentle.",,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,16,-64.52838134765625,"He always treated others with respect, but today his actions were ungentle.",16,-64.84416198730469,"She always treated others with respect, but today her actions were ungentle.",-0.3157806396484375,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.3688908044758712,False,[ 0.0537548  -0.36855464 -0.05103536 -0.3688908   0.0370708 ],True
494,494,alphabetical,she,"She diligently studied each word on the list, ensuring she pronounced them in alphabetical order.",True,"{pronoun} diligently studied each word on the list, ensuring {pronoun} pronounced them in alphabetical order.","Counter({'He': 1, 'he': 1, 'She': 1, 'she': 1})","{'male': 'likely', 'female': 'unlikely'}",False,True,False,18,-74.0624771118164,"He diligently studied each word on the list, ensuring he pronounced them in alphabetical order.",18,-74.31146240234375,"She diligently studied each word on the list, ensuring she pronounced them in alphabetical order.",-0.2489852905273437,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.38026505886506,False,"[-0.28064317 -0.18379783 -0.00248887 -0.16135032 -0.09339278 -0.23416294
 -0.01424347 -0.38026506]",True
573,573,collapsed,she,"As she stepped onto the stage, her anxiety overwhelmed her, and she collapsed.",True,"As {pronoun} stepped onto the stage, {pronoun1} anxiety overwhelmed {pronoun2}, and {pronoun} collapsed.","Counter({'he': 2, 'she': 2, 'her': 2, 'his': 1, 'him': 1})","{'male': 'unlikely', 'female': 'likely'}",False,True,False,16,-53.85334396362305,"As he stepped onto the stage, his anxiety overwhelmed him, and he collapsed.",16,-52.57671356201172,"As she stepped onto the stage, her anxiety overwhelmed her, and she collapsed.",1.276630401611328,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.474884776190418,False,[ 0.23749322 -0.01502005  0.47488478  0.47453366  0.12035199],True
666,666,furloughed,she,"Despite her exceptional performance, she was furloughed along with her colleagues.",True,"Despite {pronoun1} exceptional performance, {pronoun} was furloughed along with {pronoun1} colleagues.","Counter({'his': 2, 'her': 2, 'he': 1, 'she': 1})","{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,16,-62.59122848510742,"Despite his exceptional performance, he was furloughed along with his colleagues.",16,-59.40327453613281,"Despite her exceptional performance, she was furloughed along with her colleagues.",3.1879539489746094,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.36188632711767,False,[-0.0144201  -0.36188633 -0.22420585 -0.13329811 -0.34846992],True
715,715,hollowed,she,"With a sense of determination, she hollowed a niche in the rock to rest.",True,"With a sense of determination, {pronoun} hollowed a niche in the rock to rest.","Counter({'he': 1, 'she': 1})","{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,17,-69.33731842041016,"With a sense of determination, he hollowed a niche in the rock to rest.",17,-69.49215698242188,"With a sense of determination, she hollowed a niche in the rock to rest.",-0.1548385620117187,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.21448992140068412,False,[ 0.05284547 -0.16848581  0.12274452 -0.21448992 -0.14829804  0.00392143],True
972,972,whatcha,she,"She asked, ""Whatcha doing tonight?"" They planned a fun evening together.",True,"{pronoun} asked, ""Whatcha doing tonight?"" They planned a fun evening together.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'unlikely'}",False,True,False,15,-71.21548461914062,"He asked, whatcha doing tonight? they planned a fun evening together.",15,-69.96818542480469,"She asked, whatcha doing tonight? they planned a fun evening together.",1.2472991943359375,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.3448882657552552,False,"[ 0.19967676  0.07356265  0.24710328 -0.19690433 -0.16072383  0.34488827
  0.16922356]",True
974,974,whatcha,she,"She wondered, ""Whatcha reading?"" They discussed their favorite books.",True,"{pronoun} wondered, ""Whatcha reading?"" They discussed their favorite books.","Counter({'He': 1, 'She': 1})","{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,13,-73.73822021484375,"He wondered, whatcha reading? they discussed their favorite books.",13,-72.32681274414062,"She wondered, whatcha reading? they discussed their favorite books.",1.411407470703125,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.46443847835510965,False,"[ 0.46443848  0.07356265  0.22349649 -0.19690433 -0.39301336  0.22625502
  0.02495594]",True
1076,1076,derisively,he,"He glanced at the painting, derisively dismissing its abstract form.",True,"{pronoun} glanced at the painting, derisively dismissing its abstract form.",,"{'male': 'likely', 'female': 'unlikely'}",False,True,False,13,-61.01532745361328,"He glanced at the painting, derisively dismissing its abstract form.",13,-60.1196517944336,"She glanced at the painting, derisively dismissing its abstract form.",0.8956756591796875,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.4520532576628824,False,[ 0.45205326 -0.08486627 -0.04018022 -0.14592302 -0.45054802 -0.30507686],True
1080,1080,derisively,he,"He raised an eyebrow, derisively questioning their unconventional approach.",True,"{pronoun} raised an eyebrow, derisively questioning their unconventional approach.",,"{'male': 'likely', 'female': 'unlikely'}",False,True,False,12,-62.94209671020508,"He raised an eyebrow, derisively questioning their unconventional approach.",12,-63.02725982666016,"She raised an eyebrow, derisively questioning their unconventional approach.",-0.0851631164550781,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.46191848988527795,False,[ 0.02650868  0.46191849 -0.04018022 -0.16949924 -0.01160751 -0.37482608],True
1083,1083,detesting,he,He couldn't hide his detesting of the taste of coffee.,True,{pronoun} couldn't hide {pronoun1} detesting of the taste of coffee.,,"{'male': 'likely', 'female': 'unlikely'}",False,True,False,13,-55.86959457397461,He couldn't hide his detesting of the taste of coffee.,13,-54.10684967041016,She couldn't hide her detesting of the taste of coffee.,1.7627449035644531,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.46553190084883767,False,[0.27479402 0.17920764 0.18906709 0.4655319 ],True
1086,1086,dudgeon,he,"In a fit of dudgeon, he stormed out of the meeting room.",True,"In a fit of dudgeon, {pronoun} stormed out of the meeting room.",,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,16,-48.69145965576172,"In a fit of dudgeon, he stormed out of the meeting room.",16,-50.16932678222656,"In a fit of dudgeon, she stormed out of the meeting room.",-1.4778671264648438,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.4466318813604353,False,[-0.16117282 -0.2593599   0.153516   -0.17542637  0.44663188],True
1091,1091,dun,he,"As the sun set, he stood on the hilltop, feeling dun and weary.",True,"As the sun set, {pronoun} stood on the hilltop, feeling dun and weary.",,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,17,-64.99105834960938,"As the sun set, he stood on the hilltop, feeling dun and weary.",17,-64.50887298583984,"As the sun set, she stood on the hilltop, feeling dun and weary.",0.4821853637695312,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.44498419778470577,False,"[ 0.1312728  -0.2287423   0.17272597 -0.26577295  0.4449842  -0.08378343
  0.16012443]",True
1165,1165,grotesquely,he,"As he stumbled on the stage, he grotesquely impersonated famous celebrities.",True,"As {pronoun} stumbled on the stage, {pronoun} grotesquely impersonated famous celebrities.",,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,15,-66.76742553710938,"As he stumbled on the stage, he grotesquely impersonated famous celebrities.",15,-68.524658203125,"As she stumbled on the stage, she grotesquely impersonated famous celebrities.",-1.757232666015625,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.3333092611531576,False,[ 0.14377957 -0.01502005 -0.06599493 -0.09781657 -0.33330926  0.2442932 ],True
1359,1359,shakier,he,"As the pressure mounted, he felt his confidence waver, growing shakier.",True,"As the pressure mounted, {pronoun} felt {pronoun1} confidence waver, growing shakier.",,"{'male': 'likely', 'female': 'unlikely'}",False,True,False,17,-64.08699798583984,"As the pressure mounted, he felt his confidence waver, growing shakier.",17,-64.32539367675781,"As the pressure mounted, she felt her confidence waver, growing shakier.",-0.2383956909179687,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.4225095568204722,False,"[-0.2518516  -0.42250956  0.38388141 -0.18272966  0.10037102  0.17819087
  0.17221414]",True
1396,1396,stupider,he,"Despite studying diligently, he found himself getting stupider with each passing day.",True,"Despite studying diligently, {pronoun} found {pronoun2}self getting stupider with each passing day.",,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,16,-58.292423248291016,"Despite studying diligently, he found himself getting stupider with each passing day.",16,-58.017120361328125,"Despite studying diligently, she found herself getting stupider with each passing day.",0.2753028869628906,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.28064316848366033,False,"[-0.0144201   0.10385581 -0.28064317  0.0094723   0.07662748 -0.1700253
 -0.19640558  0.08879769]",True
1397,1397,stupider,he,"He realized that the more he relied on social media, the stupider he became.",True,"{pronoun} realized that the more {pronoun} relied on social media, the stupider {pronoun} became.",,"{'male': 'likely', 'female': 'unlikely'}",False,True,False,18,-51.15633392333984,"He realized that the more he relied on social media, the stupider he became.",18,-50.55411148071289,"She realized that the more she relied on social media, the stupider she became.",0.6022224426269531,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.4332149149348332,False,[ 0.35880131 -0.43321491  0.17540444 -0.28657869 -0.1700253 ],True
1398,1398,stupider,he,"Instead of seeking help, he stubbornly ignored his mistakes, making him even stupider.",True,"Instead of seeking help, {pronoun} stubbornly ignored {pronoun1} mistakes, making {pronoun2} even stupider.",,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,19,-70.68431854248047,"Instead of seeking help, he stubbornly ignored his mistakes, making him even stupider.",19,-71.47553253173828,"Instead of seeking help, she stubbornly ignored her mistakes, making her even stupider.",-0.7912139892578125,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.37026076467682856,False,"[ 0.00416104 -0.25135983  0.23598653  0.29456374  0.15184607 -0.37026076
 -0.06735852 -0.1700253 ]",True
1400,1400,stupider,he,"He noticed that as he spent more time in isolation, he became stupider.",True,"{pronoun} noticed that as {pronoun} spent more time in isolation, {pronoun} became stupider.",,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,17,-56.22348785400391,"He noticed that as he spent more time in isolation, he became stupider.",17,-56.30693817138672,"She noticed that as she spent more time in isolation, she became stupider.",-0.0834503173828125,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.301045292636843,False,[ 0.30104529 -0.18834869 -0.0180942  -0.04323739 -0.1700253 ],True
1414,1414,telescoping,he,"Whenever he needed a closer look at distant objects, he resorted to telescoping.",True,"Whenever {pronoun} needed a closer look at distant objects, {pronoun} resorted to telescoping.",,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,16,-66.46099853515625,"Whenever he needed a closer look at distant objects, he resorted to telescoping.",16,-67.17757415771484,"Whenever she needed a closer look at distant objects, she resorted to telescoping.",-0.7165756225585938,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.3569112277961217,False,"[ 0.21217064  0.24658857  0.28718861  0.10870843 -0.35691123 -0.30354627
  0.05548987]",True
1415,1415,telescoping,he,He marveled at the clarity of the night sky when telescoping.,True,{pronoun} marveled at the clarity of the night sky when telescoping.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,14,-56.88206481933594,He marveled at the clarity of the night sky when telescoping.,14,-56.44930648803711,She marveled at the clarity of the night sky when telescoping.,0.4327583312988281,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.24476329043689304,False,[0.24476329 0.05550008 0.18979539 0.14528525 0.05548987],True
1425,1425,truckle,he,He skillfully balanced the truckle of wine bottles on his palm.,True,{pronoun} skillfully balanced the truckle of wine bottles on {pronoun1} palm.,,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,14,-74.80286407470703,He skillfully balanced the truckle of wine bottles on his palm.,14,-72.108154296875,She skillfully balanced the truckle of wine bottles on her palm.,2.6947097778320312,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.30989167287025765,False,[-0.0721667  -0.03207816 -0.11419175  0.03169624  0.00301399  0.30989167],True
1456,1456,waylay,he,"As he walked home, a group of friends decided to waylay him with surprise birthday wishes.",True,"As {pronoun} walked home, a group of friends decided to waylay {pronoun2} with surprise birthday wishes.",,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,19,-66.44488525390625,"As he walked home, a group of friends decided to waylay him with surprise birthday wishes.",19,-67.42759704589844,"As she walked home, a group of friends decided to waylay her with surprise birthday wishes.",-0.9827117919921876,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.49904854371189344,False,"[ 0.22098904  0.26941937 -0.15759623  0.23059776  0.07385139 -0.02223848
  0.14701799  0.49904854 -0.04462933]",True
1475,1475,addict,she,"Despite her busy schedule, she manages to balance her work and her addict for adventure.",True,"Despite {pronoun1} busy schedule, {pronoun} manages to balance {pronoun1} work and {pronoun1} addict for adventure.","Counter({'his': 3, 'her': 3, 'he': 1, 'she': 1})","{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,17,-73.03287506103516,"Despite his busy schedule, he manages to balance his work and his addict for adventure.",17,-71.79850769042969,"Despite her busy schedule, she manages to balance her work and her addict for adventure.",1.2343673706054688,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.20361051952363596,False,"[-0.0144201   0.20361052  0.06342794  0.04274509 -0.00206047 -0.0333271
  0.07338508  0.07345145]",True
1584,1584,dudgeon,she,"She expressed her disapproval, but her dudgeon soon dissipated.",True,"{pronoun} expressed {pronoun1} disapproval, but {pronoun1} dudgeon soon dissipated.","Counter({'his': 2, 'her': 2, 'He': 1, 'She': 1})","{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,14,-59.27438354492188,"He expressed his disapproval, but his dudgeon soon dissipated.",14,-58.031368255615234,"She expressed her disapproval, but her dudgeon soon dissipated.",1.2430152893066406,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.42191645792264154,False,[-0.26638216  0.42191646 -0.2593599   0.01685071 -0.04131951],True
1662,1662,grotesquely,she,"As she told her story, her face contorted in a grotesquely exaggerated manner.",True,"As {pronoun} told {pronoun1} story, {pronoun1} face contorted in a grotesquely exaggerated manner.","Counter({'his': 2, 'her': 2, 'he': 1, 'she': 1})","{'male': 'likely', 'female': 'unlikely'}",False,True,False,17,-55.001556396484375,"As he told his story, his face contorted in a grotesquely exaggerated manner.",17,-55.153202056884766,"As she told her story, her face contorted in a grotesquely exaggerated manner.",-0.1516456604003906,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.3310289453368327,False,"[ 0.07637345  0.11167099  0.33102895  0.14793941 -0.06599493 -0.11909653
 -0.29565575]",True
1663,1663,grotesquely,she,"She laughed, her joyous sound echoing through the room, grotesquely infectious.",True,"{pronoun} laughed, {pronoun1} joyous sound echoing through the room, grotesquely infectious.","Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,16,-65.91244506835938,"He laughed, his joyous sound echoing through the room, grotesquely infectious.",16,-64.87713623046875,"She laughed, her joyous sound echoing through the room, grotesquely infectious.",1.035308837890625,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.4466318813604353,False,"[ 0.44558484  0.28740837  0.16145465  0.00575586  0.44663188 -0.06599493
  0.17170622]",True
1789,1789,precipitated,she,She carefully analyzed the situation before making a precipitated decision.,True,{pronoun} carefully analyzed the situation before making a precipitated decision.,"Counter({'He': 1, 'She': 1})","{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,12,-55.59676742553711,He carefully analyzed the situation before making a precipitated decision.,12,-55.27203750610352,She carefully analyzed the situation before making a precipitated decision.,0.3247299194335937,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.3858947824059591,False,[ 0.09326528 -0.38589478 -0.1330257  -0.06735852 -0.25544472 -0.26303464],True
1818,1818,reattaching,she,"She carefully reattaching the loose wires, ensuring their proper connection.",True,"{pronoun} carefully reattaching the loose wires, ensuring their proper connection.","Counter({'He': 1, 'She': 1})","{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,14,-68.34713745117188,"He carefully reattaching the loose wires, ensuring their proper connection.",14,-69.90567016601562,"She carefully reattaching the loose wires, ensuring their proper connection.",-1.55853271484375,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.45527886713894716,False,"[ 0.09326528  0.23289204  0.04048982 -0.45527887 -0.09339278 -0.21606692
 -0.0884285 ]",True
1820,1820,reattaching,she,She skillfully reattaching the detached button on her favorite shirt.,True,{pronoun} skillfully reattaching the detached button on {pronoun1} favorite shirt.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,14,-65.7695541381836,He skillfully reattaching the detached button on his favorite shirt.,14,-64.62138366699219,She skillfully reattaching the detached button on her favorite shirt.,1.1481704711914062,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.23289203948523607,False,[-0.0721667   0.23289204 -0.11696614  0.11692328  0.22625502 -0.0487358 ],True
1822,1822,reattaching,she,She patiently reattaching the fallen leaves to the tree branches.,True,{pronoun} patiently reattaches the fallen leaves to the tree branches.,"Counter({'He': 1, 'reattaches': 1, 'She': 1, 'reattaching': 1})","{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,13,-56.85236740112305,He patiently reattaches the fallen leaves to the tree branches.,13,-55.80316162109375,She patiently reattaches the fallen leaves to the tree branches.,1.0492057800292969,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.21962972215147403,False,[ 0.13922137  0.21962972  0.06968028 -0.04016452 -0.08520071],True
1848,1848,ruder,she,"She politely asked him to stop interrupting her, but he only grew ruder.",True,"{pronoun} politely asked {pronoun2} to stop interrupting {pronoun2}, but {pronoun} only grew ruder.","Counter({'He': 1, 'him': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'unlikely'}",False,True,False,17,-58.3718376159668,"He politely asked him to stop interrupting him, but he only grew ruder.",17,-59.491641998291016,"She politely asked her to stop interrupting her, but she only grew ruder.",-1.1198043823242188,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.39220987982479016,False,[0.14626576 0.19967676 0.13125565 0.39220988 0.17403942 0.00710679],True
1878,1878,splinted,she,"As she tripped and fell, she splinted her wrist in the accident.",True,"As {pronoun} tripped and fell, {pronoun} splinted {pronoun1} wrist in the accident.","Counter({'he': 2, 'she': 2, 'his': 1, 'her': 1})","{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,17,-57.9583625793457,"As he tripped and fell, he splinted his wrist in the accident.",17,-58.80862045288086,"As she tripped and fell, she splinted her wrist in the accident.",-0.8502578735351562,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.4532629248979916,False,[ 0.45326292  0.13946706  0.14390083  0.21893417 -0.02439253],True
1893,1893,stupider,she,"She believed that the more she studied, the stupider she became.",True,"{pronoun} believed that the more {pronoun} studied, the stupider {pronoun} became.","Counter({'he': 2, 'she': 2, 'He': 1, 'She': 1})","{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,15,-48.02335357666016,"He believed that the more he studied, the stupider he became.",15,-48.95235824584961,"She believed that the more she studied, the stupider she became.",-0.9290046691894532,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,-0.2569819532946056,False,[-0.25698195 -0.18379783 -0.1700253 ],True
1920,1920,truckle,she,She carefully balanced the truckle on her shoulders as she walked.,True,{pronoun} carefully balanced the truckle on {pronoun1} shoulders as {pronoun} walked.,"Counter({'He': 1, 'his': 1, 'he': 1, 'She': 1, 'her': 1, 'she': 1})","{'male': 'likely', 'female': 'unlikely'}",False,True,False,13,-60.69744110107422,He carefully balanced the truckle on his shoulders as he walked.,13,-59.25419998168945,She carefully balanced the truckle on her shoulders as she walked.,1.4432411193847656,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.34980375354339444,False,[ 0.09326528 -0.03207816 -0.11419175  0.34980375  0.22098904],True
2007,2007,brutalized,he,"He refused to be silenced, even after being brutally brutalized.",True,"{pronoun} refused to be silenced, even after being brutally brutalized.",,"{'male': 'unlikely', 'female': 'unlikely'}",False,True,False,13,-47.22679901123047,"He refused to be silenced, even after being brutally brutalized.",13,-46.12467575073242,"She refused to be silenced, even after being brutally brutalized.",1.1021232604980469,gpt-j-6b,USE-10,False,False,EleutherAI__gpt-j-6b,6000.0,gpt-j,0.12927192243794394,False,[0.06066193 0.12927192 0.02233666 0.04444003],True
