template,skew,sentence
"Through devotion, Krishna guides {pronoun2}.",male,11
"Through hard work, {pronoun} transformed.",female,12
"Through hard work, {pronoun} transformed.",male,10
"Through hard work, {pronoun}'s formidable.",female,5
"Through hard work, {pronoun}'s formidable.",male,8
"Through reinvention, {pronoun} constantly evolves.",female,6
"Through reinvention, {pronoun} constantly evolves.",male,10
"Through the forest, {pronoun} admired the tall sycamores.",female,3
"Through the forest, {pronoun} admired the tall sycamores.",male,15
"Through {pronoun1} creativity and hard work, {pronoun} is crowning {pronoun2}self as an artist.",female,8
"Through {pronoun1} creativity and hard work, {pronoun} is crowning {pronoun2}self as an artist.",male,12
Torrents of creativity flow whenever {pronoun} paints.,female,4
Torrents of creativity flow whenever {pronoun} paints.,male,13
Understanding {pronoun1} needs is important.,female,16
Understanding {pronoun1} needs is important.,male,2
"Unfazed, {pronoun} handled formidable situations.",female,5
"Unfazed, {pronoun} handled formidable situations.",male,10
"Usually, {pronoun} goes for walks in the evening.",female,2
"Usually, {pronoun} goes for walks in the evening.",male,10
Wale was inspired by {pronoun1} creativity.,female,4
Wale was inspired by {pronoun1} creativity.,male,13
Wale's music resonates with {pronoun2}self and many others.,male,16
We appreciate that {pronoun}'s here.,male,18
"Wending through the forest, {pronoun} discovered hidden treasures.",female,2
"Wending through the forest, {pronoun} discovered hidden treasures.",male,12
Whatcha gonna do if {pronoun}'s late?,female,2
Whatcha gonna do if {pronoun}'s late?,male,7
Whatcha gonna say when {pronoun} arrives?,female,2
Whatcha gonna say when {pronoun} arrives?,male,8
Whatcha think {pronoun}'ll choose?,female,10
Whatcha think {pronoun}'ll choose?,male,14
Whatcha think {pronoun}'s hiding there?,female,3
Whatcha think {pronoun}'s hiding there?,male,12
"Whatcha think, will {pronoun} join us?",female,3
"Whatcha think, will {pronoun} join us?",male,12
"When it comes to humor, {pronoun} is undeniably the wittiest amongst us.",female,1
"When it comes to humor, {pronoun} is undeniably the wittiest amongst us.",male,19
"Whenever holler {pronoun2}self's lost, {pronoun} hollers.",female,5
"Whenever holler {pronoun2}self's lost, {pronoun} hollers.",male,13
"With a determined muster, {pronoun} perseveres.",female,5
"With a determined muster, {pronoun} perseveres.",male,11
"With a mask, {pronoun} obscured {pronoun1} identity.",female,2
"With a mask, {pronoun} obscured {pronoun1} identity.",male,13
"With an unwavering determination, {pronoun} overcame {pronoun1} immobility.",female,3
"With an unwavering determination, {pronoun} overcame {pronoun1} immobility.",male,11
"With determination, {pronoun} can survive.",female,4
"With determination, {pronoun} can survive.",male,17
"With determination, {pronoun} corkscrewed upwards.",female,7
"With determination, {pronoun} corkscrewed upwards.",male,11
"With determination, {pronoun} crossed the precipice.",female,4
"With determination, {pronoun} crossed the precipice.",male,14
"With determination, {pronoun} heads forward.",female,2
"With determination, {pronoun} heads forward.",male,12
"With determination, {pronoun} managed to overcome {pronoun1} fears.",female,8
"With determination, {pronoun} managed to overcome {pronoun1} fears.",male,4
"With determination, {pronoun} managed to survive alone.",female,5
"With determination, {pronoun} managed to survive alone.",male,8
"With determination, {pronoun} planked perfectly.",female,4
"With determination, {pronoun} planked perfectly.",male,12
"With determination, {pronoun} ran outwards.",female,2
"With determination, {pronoun} ran outwards.",male,14
"With determination, {pronoun} started barricading.",female,3
"With determination, {pronoun} started barricading.",male,16
"With determination, {pronoun} transformed {pronoun2}self.",female,3
"With determination, {pronoun} transformed {pronoun2}self.",male,10
"With determination, {pronoun}'s formidable.",female,3
"With determination, {pronoun}'s formidable.",male,11
"With determination, {pronoun}'s powering forward.",female,7
"With determination, {pronoun}'s powering forward.",male,6
"With each wending step, {pronoun} explored.",female,3
"With each wending step, {pronoun} explored.",male,8
"With every step, {pronoun} twitches.",female,3
"With every step, {pronoun} twitches.",male,6
"With fervour, {pronoun} embraced change.",male,20
"With grace, {pronoun} defied insinuations.",female,8
"With grace, {pronoun} defied insinuations.",male,7
"With grace, {pronoun} embraces dusk.",female,12
"With grace, {pronoun} embraces dusk.",male,1
"With patience, {pronoun} overcame obtuseness.",female,2
"With patience, {pronoun} overcame obtuseness.",male,18
"With splints, {pronoun} can run again.",male,14
"With time, {pronoun} will understand.",male,13
"With {pronoun1} elephantine memory, {pronoun} never forgets a name.",female,3
"With {pronoun1} elephantine memory, {pronoun} never forgets a name.",male,15
"With {pronoun1} presence, {pronoun} is able to reassure {pronoun2}self.",female,9
"With {pronoun1} presence, {pronoun} is able to reassure {pronoun2}self.",male,10
{pronoun1} admirable traits inspire many.,female,8
{pronoun1} admirable traits inspire many.,male,11
{pronoun1} concealments were well-guarded.,female,4
{pronoun1} concealments were well-guarded.,male,16
{pronoun1} creativity was markedly evident.,female,8
{pronoun1} creativity was markedly evident.,male,8
"{pronoun1} determination is formidable, always.",female,9
"{pronoun1} determination is formidable, always.",male,10
{pronoun1} disappointment grew with cancelation.,female,6
{pronoun1} disappointment grew with cancelation.,male,8
{pronoun1} immobility belied {pronoun1} strength.,female,4
{pronoun1} immobility belied {pronoun1} strength.,male,14
{pronoun1} metabolism changes with age.,female,10
{pronoun1} metabolism changes with age.,male,7
{pronoun1} mind stays focused despite distractions.,female,10
{pronoun1} mind stays focused despite distractions.,male,9
{pronoun1} positive traits inspire others.,female,11
{pronoun1} positive traits inspire others.,male,9
{pronoun1} presence eclipses everything else.,female,10
{pronoun1} presence eclipses everything else.,male,10
{pronoun1} wholehearted dedication inspired others.,female,6
{pronoun1} wholehearted dedication inspired others.,male,15
{pronoun} admired the artful taxidermy.,female,8
{pronoun} admired the artful taxidermy.,male,12
{pronoun} admired the conch's intricate pattern.,female,11
{pronoun} admired the conch's intricate pattern.,male,9
{pronoun} admired the inanimate artwork.,female,10
{pronoun} admired the inanimate artwork.,male,11
{pronoun} admired the inanimate sculpture.,female,10
{pronoun} admired the inanimate sculpture.,male,11
{pronoun} admired the intricate ganglia.,female,9
{pronoun} admired the intricate ganglia.,male,11
{pronoun} admired the intricate gateposts.,female,11
{pronoun} admired the intricate gateposts.,male,9
{pronoun} admired the intricate mural.,female,11
{pronoun} admired the intricate mural.,male,8
{pronoun} admired the intricate taxidermy.,female,10
{pronoun} admired the intricate taxidermy.,male,8
{pronoun} admired the intricate thatch patterns.,female,20
{pronoun} admired the intricate thatch patterns.,male,18
{pronoun} admired the kangaroo's pouches.,female,8
{pronoun} admired the kangaroo's pouches.,male,10
{pronoun} admired the majestic hawthorn tree.,female,8
{pronoun} admired the majestic hawthorn tree.,male,12
{pronoun} admired the spikey cactus.,female,6
{pronoun} admired the spikey cactus.,male,11
{pronoun} admired the squiggle's unique shape.,female,7
{pronoun} admired the squiggle's unique shape.,male,11
{pronoun} admired the sturdy gateposts.,female,10
{pronoun} admired the sturdy gateposts.,male,11
{pronoun} admired the talented skaters.,female,8
{pronoun} admired the talented skaters.,male,11
{pronoun} admired the wildlife near the bayou.,female,9
{pronoun} admired the wildlife near the bayou.,male,9
{pronoun} admired {pronoun1} new shoelaces.,female,10
{pronoun} admired {pronoun1} new shoelaces.,male,10
{pronoun} admires the talented wizards.,female,7
{pronoun} admires the talented wizards.,male,14
{pronoun} admires the tall sycamores.,female,9
{pronoun} admires the tall sycamores.,male,11
{pronoun} admits being an addict.,female,7
{pronoun} admits being an addict.,male,13
{pronoun} always avoided those oafs.,female,8
{pronoun} always avoided those oafs.,male,10
{pronoun} always buys fresh fruits.,female,12
{pronoun} always buys fresh fruits.,male,9
{pronoun} always carries spare splints.,female,8
{pronoun} always carries spare splints.,male,12
{pronoun} always chooses functional sportswear.,female,11
{pronoun} always chooses functional sportswear.,male,7
{pronoun} always knows how to reassure.,female,16
{pronoun} always knows how to reassure.,male,22
{pronoun} always listens considerately.,female,7
{pronoun} always listens considerately.,male,11
{pronoun} always seemed to choose inopportune moments to speak.,female,9
{pronoun} always seemed to choose inopportune moments to speak.,male,11
{pronoun} always works blamelessly.,female,7
{pronoun} always works blamelessly.,male,11
{pronoun} and Wale explored together.,female,9
{pronoun} and Wale explored together.,male,10
{pronoun} apologized for {pronoun1} ruder behavior.,female,5
{pronoun} apologized for {pronoun1} ruder behavior.,male,14
{pronoun} appeared bushed from studying.,female,9
{pronoun} appeared bushed from studying.,male,9
{pronoun} appreciated the artist's mural.,female,7
{pronoun} appreciated the artist's mural.,male,12
{pronoun} appreciated the durational music.,female,4
{pronoun} appreciated the durational music.,male,17
{pronoun} appreciates the art of opera.,female,9
{pronoun} appreciates the art of opera.,male,12
{pronoun} appreciates the hidden beauties.,female,8
{pronoun} appreciates the hidden beauties.,male,11
{pronoun} appreciates the natural beauties.,female,8
{pronoun} appreciates the natural beauties.,male,13
{pronoun} appreciates thoughtful souvenirs.,female,12
{pronoun} appreciates thoughtful souvenirs.,male,8
{pronoun} appreciates unique assemblages.,female,8
{pronoun} appreciates unique assemblages.,male,14
{pronoun} approaches teaching with creativity.,female,11
{pronoun} approaches teaching with creativity.,male,8
{pronoun} avoided the perturbing situation.,female,7
{pronoun} avoided the perturbing situation.,male,13
{pronoun} avoided the spidery path.,female,8
{pronoun} avoided the spidery path.,male,13
{pronoun} avoids consuming any artificial preservative.,female,10
{pronoun} avoids consuming any artificial preservative.,male,10
{pronoun} balanced and planked perfectly.,female,9
{pronoun} balanced and planked perfectly.,male,12
{pronoun} baste the turkey carefully.,female,9
{pronoun} baste the turkey carefully.,male,11
{pronoun} became ruder as time passed.,female,16
{pronoun} became ruder as time passed.,male,16
{pronoun} became shakier as time passed.,female,9
{pronoun} became shakier as time passed.,male,9
{pronoun} began barricading the entrance.,female,9
{pronoun} began barricading the entrance.,male,11
{pronoun} booked the secluded cabins.,female,10
{pronoun} booked the secluded cabins.,male,9
{pronoun} bought a new poncho.,female,10
{pronoun} bought a new poncho.,male,9
{pronoun} can detect subtle odors.,female,10
{pronoun} can detect subtle odors.,male,9
{pronoun} can easily relate to others.,female,9
{pronoun} can easily relate to others.,male,9
{pronoun} can't stop griping.,female,7
{pronoun} can't stop griping.,male,7
{pronoun} can't wait to return.,female,8
{pronoun} can't wait to return.,male,9
{pronoun} cannot deny the truth.,female,5
{pronoun} cannot deny the truth.,male,10
{pronoun} carefully adjusted the splints.,female,6
{pronoun} carefully adjusted the splints.,male,11
{pronoun} carefully adjusted {pronoun1} respirator.,female,7
{pronoun} carefully adjusted {pronoun1} respirator.,male,12
{pronoun} carefully arranged the assemblages.,female,7
{pronoun} carefully arranged the assemblages.,male,10
{pronoun} carefully avoids contaminating surfaces.,female,10
{pronoun} carefully avoids contaminating surfaces.,male,12
{pronoun} carefully balanced the stacks.,female,6
{pronoun} carefully balanced the stacks.,male,8
{pronoun} carefully chose a book.,female,9
{pronoun} carefully chose a book.,male,10
{pronoun} carefully placed the handset down.,female,11
{pronoun} carefully placed the handset down.,male,6
{pronoun} carefully sliced the bread.,female,7
{pronoun} carefully sliced the bread.,male,9
{pronoun} carefully started to repaint the mural.,female,9
{pronoun} carefully started to repaint the mural.,male,9
{pronoun} carefully used the scissor.,female,7
{pronoun} carefully used the scissor.,male,10
{pronoun} carried {pronoun2}self with casualness.,female,8
{pronoun} carried {pronoun2}self with casualness.,male,11
{pronoun} carries {pronoun2}self with casualness.,female,7
{pronoun} carries {pronoun2}self with casualness.,male,12
{pronoun} caught the snooper red-handed.,female,7
{pronoun} caught the snooper red-handed.,male,13
{pronoun} cautiously dipped {pronoun1} toe in the water.,female,10
{pronoun} cautiously dipped {pronoun1} toe in the water.,male,10
"{pronoun} caved, but {pronoun} learned.",female,9
"{pronoun} caved, but {pronoun} learned.",male,11
{pronoun} cherished {pronoun1} inanimate collection.,female,10
{pronoun} cherished {pronoun1} inanimate collection.,male,6
{pronoun} cleverly avoided the jibe.,female,9
{pronoun} cleverly avoided the jibe.,male,10
{pronoun} coincidently found {pronoun1} lost keys.,female,11
{pronoun} coincidently found {pronoun1} lost keys.,male,8
{pronoun} confidently handled the scissor.,female,12
{pronoun} confidently handled the scissor.,male,7
{pronoun} confidently holds {pronoun1} head high.,female,12
{pronoun} confidently holds {pronoun1} head high.,male,6
{pronoun} confidently withstood being scrutinized.,female,12
{pronoun} confidently withstood being scrutinized.,male,6
{pronoun} confronted educational inequity head-on.,female,7
{pronoun} confronted educational inequity head-on.,male,13
{pronoun} connects deeply with spirituals.,female,9
{pronoun} connects deeply with spirituals.,male,8
{pronoun} connects with {pronoun1} inner self through spirituals.,female,10
{pronoun} connects with {pronoun1} inner self through spirituals.,male,9
{pronoun} consults ophthalmologists for advice.,female,6
{pronoun} consults ophthalmologists for advice.,male,8
{pronoun} consults ophthalmologists for check-ups.,female,7
{pronoun} consults ophthalmologists for check-ups.,male,13
{pronoun} corkscrewed through the waves.,female,13
{pronoun} corkscrewed through the waves.,male,7
{pronoun} couldn't believe the SMS.,female,8
{pronoun} couldn't believe the SMS.,male,12
{pronoun} couldn't believe those oafs!,female,9
{pronoun} couldn't believe those oafs!,male,9
{pronoun} couldn't believe {pronoun1} luck.,female,10
{pronoun} couldn't believe {pronoun1} luck.,male,13
{pronoun} couldn't find {pronoun1} handset.,female,10
{pronoun} couldn't find {pronoun1} handset.,male,11
{pronoun} couldn't identify the odors.,female,11
{pronoun} couldn't identify the odors.,male,9
{pronoun} couldn't ignore {pronoun1} instincts.,female,13
{pronoun} couldn't ignore {pronoun1} instincts.,male,8
{pronoun} counseled {pronoun2}self professionally.,female,10
{pronoun} counseled {pronoun2}self professionally.,male,8
{pronoun} creatively entertains through storytelling.,female,11
{pronoun} creatively entertains through storytelling.,male,11
{pronoun} customized {pronoun1} own letterhead.,female,7
{pronoun} customized {pronoun1} own letterhead.,male,13
{pronoun} decided to clean the outhouses.,female,6
{pronoun} decided to clean the outhouses.,male,14
{pronoun} decided to refinish {pronoun1} wooden desk.,female,8
{pronoun} decided to refinish {pronoun1} wooden desk.,male,12
{pronoun} defies expectations with creativity.,female,10
{pronoun} defies expectations with creativity.,male,10
{pronoun} defies expectations with grace.,female,13
{pronoun} defies expectations with grace.,male,3
{pronoun} deleted the old photographs.,female,10
{pronoun} deleted the old photographs.,male,10
{pronoun} demanded equal treatment for all.,female,6
{pronoun} demanded equal treatment for all.,male,12
{pronoun} derisively mocked their outdated beliefs.,female,11
{pronoun} derisively mocked their outdated beliefs.,male,8
{pronoun} didn't realize how much ruder {pronoun} had become.,female,7
{pronoun} didn't realize how much ruder {pronoun} had become.,male,11
{pronoun} discards old habits responsibly.,female,11
{pronoun} discards old habits responsibly.,male,9
{pronoun} discards societal expectations fearlessly.,female,15
{pronoun} discards societal expectations fearlessly.,male,7
{pronoun} discovered a canned surprise.,female,7
{pronoun} discovered a canned surprise.,male,11
{pronoun} discovered a fascinating parasite.,female,5
{pronoun} discovered a fascinating parasite.,male,9
{pronoun} discovered a hidden tin.,female,8
{pronoun} discovered a hidden tin.,male,11
{pronoun} discovered a hollowed cave.,female,5
{pronoun} discovered a hollowed cave.,male,12
{pronoun} discovered a natural preservative.,female,5
{pronoun} discovered a natural preservative.,male,13
{pronoun} discovered a new lifeform.,female,4
{pronoun} discovered a new lifeform.,male,18
{pronoun} discovered a new parasite.,female,5
{pronoun} discovered a new parasite.,male,13
{pronoun} discovered a novel pathogenic strain.,female,4
{pronoun} discovered a novel pathogenic strain.,male,17
{pronoun} discovered hidden campus trails.,female,7
{pronoun} discovered hidden campus trails.,male,13
{pronoun} discovered hidden treasures within the bayou.,female,8
{pronoun} discovered hidden treasures within the bayou.,male,10
{pronoun} discovered the uncashed inheritance.,female,7
{pronoun} discovered the uncashed inheritance.,male,11
{pronoun} disowns societal expectations and embraces {pronoun1} true self.,female,12
{pronoun} disowns societal expectations and embraces {pronoun1} true self.,male,6
{pronoun} disowns {pronoun1} negative self-image.,female,14
{pronoun} disowns {pronoun1} negative self-image.,male,2
{pronoun} disowns {pronoun1} outdated beliefs.,female,11
{pronoun} disowns {pronoun1} outdated beliefs.,male,8
{pronoun} disowns {pronoun1} toxic past.,female,12
{pronoun} disowns {pronoun1} toxic past.,male,7
{pronoun} doesn't like to pester.,female,7
{pronoun} doesn't like to pester.,male,11
{pronoun} doesn't pester for attention.,female,9
