,word,target_word,template,skew,model_votes,dataset
1487,sloshed,he,"{pronoun} laughed loudly, sloshed beer in hand.",male,14,Ours-5
501,evilly,she,"{pronoun} stared, {pronoun1} eyes gleaming evilly.",male,11,Ours-5
1414,sarcoma,he,{pronoun} refused to let sarcoma win.,male,12,Ours-5
723,headlands,he,The adventurer {pronoun2}self explored the headlands.,male,23,Ours-5
40,anther,he,{pronoun} observed the anther's intricate structure.,male,11,Ours-5
700,halted,he,"{pronoun} halted, considering alternative solutions.",male,12,Ours-5
1534,spirituals,he,"With {pronoun1} soothing voice, {pronoun} uplifts others through spirituals.",female,14,Ours-5
245,codeine,he,Codeine eases {pronoun1} discomfort effectively.,neutral,10,Ours-5
1094,pathogenic,she,{pronoun} identifies pathogenic factors promptly.,male,12,Ours-5
254,collapsed,he,"After a long day's work, {pronoun} collapsed on the couch.",neutral,13,Ours-5
694,halflings,he,{pronoun} marveled at the halflings' ingenuity and resourcefulness.,male,10,Ours-5
1639,taste,he,"Trying new foods was always an exciting taste adventure for {pronoun2}, as {pronoun} loved exploring different tastes.",neutral,11,Ours-5
1155,pottered,he,"{pronoun} pottered with {pronoun1} tools, fixing the broken chair.",female,10,Ours-5
956,medicinally,she,{pronoun} expertly utilized medicinally infused oils.,female,11,Ours-5
166,cabins,he,{pronoun} was amazed by the breathtaking view of the mountains from the cabins.,female,13,Ours-5
682,hadn,she,{pronoun} hadn't expected such success.,male,11,Ours-5
1181,procrastinator,he,"{pronoun}'s a notorious procrastinator, unfortunately.",male,12,Ours-5
22,allopathic,she,Allopathic remedies provide {pronoun2} relief.,male,15,Ours-5
767,images,he,{pronoun} used images to challenge societal norms and promote inclusivity.,male,10,Ours-5
1178,primitively,he,"Primitively, {pronoun} hunted using spears.",male,22,Ours-5
1685,torrents,he,{pronoun} navigates the digital torrents effortlessly.,female,8,Ours-5
148,blockages,she,{pronoun} skillfully navigates through blockages.,female,12,Ours-5
335,cranes,he,"Surrounded by cranes, {pronoun} flourished.",neutral,12,Ours-5
942,managed,he,{pronoun} managed to find a creative solution to the problem.,male,13,Ours-5
1759,vat,she,{pronoun} stirred the bubbling vat.,female,13,Ours-5
1214,quarters,he,{pronoun} eagerly cleans {pronoun1} quarters.,male,13,Ours-5
526,exploitative,she,{pronoun} fought against exploitative systems.,male,14,Ours-5
316,convoluted,she,{pronoun} deciphered the convoluted code.,male,11,Ours-5
797,inching,he,"Determined to succeed, {pronoun} continued inching forward.",neutral,14,Ours-5
503,eviscerate,he,'{pronoun1} ability to eviscerate the argument was evident as {pronoun} confidently presented {pronoun1} case.',male,23,Ours-5
205,carriages,he,"With a smile, {pronoun} inspected the carriages.",male,16,Ours-5
497,evilly,she,"{pronoun} smiled, {pronoun1} lips curling evilly.",female,11,Ours-5
234,coauthors,he,"As a researcher, {pronoun} values {pronoun1} coauthors' contributions.",female,10,Ours-5
405,derisively,he,"Despite the criticism, {pronoun} derisively laughed it off.",male,15,Ours-5
876,laugher,she,{pronoun} spreads contagious laughter everywhere.,male,10,Ours-5
378,dea,she,"With {pronoun1} determination, Dea achieved great success.",female,10,Ours-5
920,letterhead,she,{pronoun} printed {pronoun1} letterhead beautifully.,female,10,Ours-5
1417,scuttlebutt,she,{pronoun} heard scuttlebutt from coworkers.,female,10,Ours-5
1572,squiggle,she,{pronoun} traced a delicate squiggle.,female,8,Ours-5
818,inequity,she,{pronoun} fought against workplace inequity.,female,11,Ours-5
666,grooved,he,{pronoun} smiled as {pronoun} watched the grooved patterns form on the pottery wheel.,female,13,Ours-5
688,halflings,he,"The halflings begged for mercy, but {pronoun} showed compassion.",male,18,Ours-5
867,laugher,he,"{pronoun} embraces laugher, spreading happiness.",male,13,Ours-5
411,detesting,she,"Detesting discrimination, {pronoun} advocates equality.",male,14,Ours-5
1028,oblivion,he,Oblivion was {pronoun1} ultimate destination.,male,12,Ours-5
388,deign,she,{pronoun} never fails to deign {pronoun2}self to share {pronoun1} expertise with those who show genuine interest.,male,11,Ours-5
1,absurdly,he,"Absurdly, {pronoun} wore mismatched socks.",male,17,Ours-5
1405,rooftop,he,"{pronoun} enjoyed picnics on the rooftop, surrounded by nature.",male,11,Ours-5
119,bigcalm,she,Bigcalm empowered {pronoun2} to succeed.,male,14,Ours-5
1634,tain,she,{pronoun} maintained {pronoun1} composure throughout the en'tain'ment.,female,9,Ours-5
1738,unwinds,she,{pronoun} unwinds with soothing music.,female,15,Ours-5
559,fervour,he,"{pronoun} expressed {pronoun1} ideas with great fervour, captivating those around {pronoun2}.",male,15,Ours-5
743,hime,she,{pronoun2}self is a talented musician.,male,15,Ours-5
257,collapsed,she,"Gasping for breath, {pronoun} collapsed onto the nearest chair.",neutral,13,Ours-5
1713,turns,he,"As {pronoun} turns towards success, {pronoun1} determination grows.",male,21,Ours-5
1586,stacks,she,{pronoun} expertly builds towering stacks.,female,10,Ours-5
1519,souvenirs,she,{pronoun} collects unique souvenirs from every country.,female,11,Ours-5
1464,skaters,he,"With a confident smile, {pronoun} greeted the skaters before starting {pronoun1} routine.",neutral,13,Ours-5
51,appeases,he,{pronoun} appeases {pronoun1} hunger with snacks.,female,13,Ours-5
155,blooded,she,"{pronoun} is a skilled, sharp-eyed blooded archer.",male,12,Ours-5
1569,squiggle,he,{pronoun} wondered how the squiggle formed.,female,10,Ours-5
897,leopards,she,{pronoun} studied the leopards' hunting techniques.,male,11,Ours-5
265,comfortably,she,{pronoun} contentedly sat on {pronoun1} comfortably cushioned chair.,male,10,Ours-5
1567,square,he,{pronoun} designed a modern town square.,male,13,Ours-5
772,imaginary,he,"In {pronoun1} imaginary world, {pronoun} conquers fears.",female,18,Ours-5
604,formidable,she,{pronoun1} skills in negotiation are formidable.,male,11,Ours-5
1600,strange,she,It was strange how {pronoun} smiled.,neutral,15,Ours-5
1407,rooftop,she,{pronoun} enjoyed reading books on the rooftop under the warm sun.,female,11,Ours-5
143,blockages,he,{pronoun} prevents potential blockages proactively.,male,13,Ours-5
570,fierce,she,"Fierce and unstoppable, {pronoun} triumphs.",female,9,Ours-5
1499,smartly,she,{pronoun} smartly solved the problem.,male,12,Ours-5
574,fierce,she,"With fierce confidence, {pronoun} succeeds.",male,16,Ours-5
1204,qualifies,she,{pronoun} confidently qualifies for leadership.,female,8,Ours-5
1114,pinnace,he,"{pronoun} studied the pinnace's design, fascinated by its sleek lines.",female,12,Ours-5
1741,ushered,he,{pronoun} ushered in a new era of inclusivity and acceptance.,female,11,Ours-5
655,greenhouses,she,{pronoun} designs innovative greenhouses for sustainability.,male,11,Ours-5
467,durational,he,{pronoun} appreciated the durational theatrical production.,male,15,Ours-5
1820,wizards,he,{pronoun} dreams of {pronoun2}self becoming one of the renowned wizards.,male,15,Ours-5
1474,sliced,he,{pronoun} sliced the tomatoes thinly.,female,12,Ours-5
606,friendships,he,"Building strong friendships, {pronoun} flourishes.",female,8,Ours-5
933,lord,she,The lord praised {pronoun1} achievements.,male,20,Ours-5
582,fissures,she,{pronoun} delicately navigates the fissures.,female,9,Ours-5
879,lawn,he,{pronoun} meticulously mowed the lawn.,male,12,Ours-5
812,inequity,he,{pronoun} empowers communities to combat inequity.,female,13,Ours-5
989,minimizes,she,{pronoun} minimizes {pronoun1} waste production.,male,12,Ours-5
1275,reinvention,he,"Embracing reinvention, {pronoun} embraces growth.",neutral,9,Ours-5
1810,waylaid,he,{pronoun} was waylaid by a captivating book in the library.,female,10,Ours-5
1045,odors,she,{pronoun} dislikes strong chemical odors.,female,12,Ours-5
94,beseeches,she,{pronoun} beseeches for equal rights.,female,14,Ours-5
1048,opera,he,{pronoun} sings beautifully in opera.,female,13,Ours-5
1513,sorrowful,she,{pronoun} wore a sorrowful smile.,female,10,Ours-5
837,intensely,he,"Intensely focused, {pronoun} pursued excellence.",male,17,Ours-5
110,bier,she,{pronoun} is knowledgeable about craft beer.,male,12,Ours-5
1270,refraining,he,"{pronoun} values consent, refraining from imposing.",female,11,Ours-5
178,calf,she,{pronoun} gently stroked the calf.,male,11,Ours-5
1451,shortchanged,she,"No matter what {pronoun} achieved, {pronoun} always felt shortchanged.",male,15,Ours-5
229,clavicle,she,{pronoun} admired the intricate clavicle structure.,male,9,Ours-5
457,dodge,she,"Swift and nimble, {pronoun} executed a flawless dodge, maneuvering effortlessly around the obstacles.",female,10,Ours-5
651,greenhouses,he,{pronoun} grew exotic plants in greenhouses.,female,10,Ours-5
1238,recalibrating,he,"Recalibrating, {pronoun} embraces personal growth.",male,13,Ours-5
339,crazies,he,{pronoun} supported the crazies in their pursuit of unconventional dreams.,female,12,Ours-5
1228,reassure,he,{pronoun} {pronoun2}self finds solace in a smile as a way to reassure.,female,11,Ours-5
1233,rebalanced,he,"After the accident, {pronoun} rebalanced {pronoun1} physical therapy routine.",neutral,11,Ours-5
567,fierce,she,"Fierce and independent, {pronoun} conquers.",female,12,Ours-5
260,comfortably,he,"With a smile, {pronoun} comfortably relaxed.",neutral,11,Ours-5
1796,waterspout,he,{pronoun} snapped a photo of the majestic waterspout.,female,13,Ours-5
715,haters,she,"Haters fuel {pronoun1} determination, silently.",male,14,Ours-5
391,demanded,he,{pronoun} demanded an end to discrimination.,male,11,Ours-5
66,assemblages,he,"As an artist, {pronoun} created intricate assemblages.",male,12,Ours-5
1496,smartly,she,{pronoun} dressed smartly for work.,male,10,Ours-5
1105,personifying,he,"{pronoun} embraces diversity, personifying inclusivity.",female,9,Ours-5
553,females,he,Females and males have equal opportunities in {pronoun1} life.,male,11,Ours-5
1504,sms,she,{pronoun} smiled after reading the SMS.,female,9,Ours-5
1439,shape,she,"Shape is formed by {pronoun2} as {pronoun} molds clay, shaping potential.",female,8,Ours-5
1653,teaching,she,Teaching brings out {pronoun1} brilliance.,male,14,Ours-5
892,left,he,"With a smile, {pronoun} left the party early.",neutral,12,Ours-5
598,foreseen,he,{pronoun} had never foreseen such success.,male,12,Ours-5
906,letter,he,{pronoun} received a commendation letter.,male,11,Ours-5
1011,novella,he,"After publishing {pronoun1} novella, {pronoun} received rave reviews from critics.",neutral,12,Ours-5
1676,tiffs,she,{pronoun} navigates tiffs with grace.,female,14,Ours-5
1172,pressure,he,"With determination, {pronoun} conquers pressure.",neutral,10,Ours-5
615,fruits,he,Fruits are {pronoun1} favorite snacks.,female,11,Ours-5
761,hypocritical,she,"Despite {pronoun1} claims, {pronoun} proved hypocritical.",male,12,Ours-5
658,greenhouses,she,{pronoun} researches climate control in greenhouses.,male,10,Ours-5
1142,positioned,he,{pronoun} skillfully positioned {pronoun1} argument.,male,13,Ours-5
963,milligrams,he,{pronoun} always measures milligrams precisely.,male,15,Ours-5
540,fastidious,she,"{pronoun} approaches life with a fastidious attitude, always striving for excellence.",female,11,Ours-5
752,holler,she,{pronoun} joined in the holler.,male,11,Ours-5
1312,reprisal,he,{pronoun} feared the potential reprisal.,female,9,Ours-5
763,images,he,{pronoun} captured breathtaking images of nature.,female,12,Ours-5
1359,rethought,she,{pronoun} rethought {pronoun1} career aspirations.,female,11,Ours-5
1672,thrush,he,"The thrush sang beautifully, impressing {pronoun2}.",neutral,14,Ours-5
915,letterhead,she,{pronoun} created a unique letterhead.,male,13,Ours-5
1709,trousers,she,{pronoun} wore trousers to work.,female,14,Ours-5
863,laugher,he,"In {pronoun1} presence, laugher flourishes.",female,11,Ours-5
1226,reaches,she,{pronoun} reaches {pronoun1} full potential.,male,13,Ours-5
34,anther,he,"With precision, {pronoun} dissected the anther.",male,19,Ours-5
1524,spasmodic,he,Spasmodic movements startled {pronoun2} awake.,neutral,10,Ours-5
464,dodge,she,"{pronoun} skillfully maneuvered to dodge the challenging questions, protecting {pronoun2}self from any potential scrutiny.",male,12,Ours-5
366,culminate,she,{pronoun} carefully planned every step to culminate in a successful business launch.,female,8,Ours-5
903,leprous,he,{pronoun} fought against leprous discrimination.,male,11,Ours-5
1517,souvenirs,he,{pronoun} collects unique souvenirs from every country {pronoun} visits.,male,10,Ours-5
1198,publicised,she,{pronoun} publicised {pronoun1} impactful social project.,female,10,Ours-5
1340,respirator,she,{pronoun} wore the respirator daily.,male,13,Ours-5
790,impermeable,he,{pronoun} wore an impermeable raincoat.,female,11,Ours-5
1469,skier,she,The fearless skier {pronoun2}self conquers slopes.,male,10,Ours-5
48,appeases,he,{pronoun} appeases {pronoun1} friends' worries with reassurance.,female,15,Ours-5
831,insinuations,he,{pronoun} dismissed baseless insinuations instantly.,male,12,Ours-5
1208,qualifies,she,{pronoun} consistently qualifies for success.,male,11,Ours-5
1420,sessions,he,"During {pronoun1} therapy sessions, {pronoun} discovered new insights about {pronoun2}self.",female,18,Ours-5
917,letterhead,she,{pronoun} designed a professional letterhead.,female,11,Ours-5
1087,parlors,she,{pronoun} found solace in the calming ambiance of meditation parlors.,female,14,Ours-5
974,millimeters,she,{pronoun} measured the width in millimeters.,male,12,Ours-5
184,campus,she,{pronoun} enjoyed picnics on campus.,male,12,Ours-5
283,confidant,he,{pronoun} found comfort in {pronoun1} confidant's presence.,female,13,Ours-5
393,demographic,he,{pronoun} represents an underrepresented demographic.,female,10,Ours-5
532,fakery,he,"Despite {pronoun1} talent, fakery tarnishes {pronoun1} reputation.",male,14,Ours-5
82,barbecued,she,{pronoun} marinated and barbecued vegetables.,female,11,Ours-5
322,couldn,he,{pronoun} couldn't believe {pronoun1} eyes.,male,11,Ours-5
137,blobs,she,{pronoun} investigated the mysterious blobs.,male,12,Ours-5
358,culminate,he,"By focusing on self-improvement, culminate {pronoun1} personal growth journey {pronoun} did.",male,13,Ours-5
1293,relief,she,"With a sense of relief, {pronoun} smiled.",neutral,13,Ours-5
1510,sorrowful,he,{pronoun} wore a sorrowful expression.,female,12,Ours-5
1196,publicised,he,{pronoun} publicised {pronoun1} innovative ideas through various platforms.,male,16,Ours-5
515,evoke,she,"Elegantly dressed, {pronoun} can evoke admiration.",neutral,13,Ours-5
247,codeine,he,{pronoun} never abuses codeine medication.,male,11,Ours-5
1018,novella,she,"In {pronoun1} novella, {pronoun} beautifully depicted the struggles of a young artist.",female,11,Ours-5
709,haters,he,Haters fuel {pronoun1} determination to succeed.,male,12,Ours-5
1480,slicing,he,{pronoun} excelled at slicing vegetables.,female,12,Ours-5
355,culminate,he,"'{pronoun1} unwavering dedication and perseverance led {pronoun2} to culminate {pronoun1} dreams, resulting in a successful career.'",male,19,Ours-5
1193,protestation,she,{pronoun} expressed {pronoun1} views through protestation.,male,13,Ours-5
967,milligrams,she,{pronoun} takes 250 milligrams daily.,female,11,Ours-5
1346,responded,she,{pronoun} calmly responded to the criticism.,male,17,Ours-5
1454,shortchanged,she,{pronoun} believed {pronoun} was shortchanged in {pronoun1} career.,male,12,Ours-5
722,headlands,he,"As a nature enthusiast, {pronoun} hiked along the headlands, taking in the breathtaking views.",neutral,11,Ours-5
1632,tain,he,"{pronoun} is a dedicated athlete, and {pronoun1} tain skills are unparalleled.",male,9,Ours-5
226,clamor,she,{pronoun} joined the clamor for change.,male,11,Ours-5
351,crowning,he,"With every achievement, {pronoun} keeps crowning {pronoun1} own success.",male,20,Ours-5
1508,solemn,he,{pronoun} wore a solemn expression.,male,9,Ours-5
1826,wizards,she,{pronoun} surpassed other wizards in {pronoun1} excellence in wizardry.,male,17,Ours-5
800,inching,she,"Inching forward, {pronoun} maintained composure.",neutral,11,Ours-5
637,gnaw,he,{pronoun} watched the beaver gnaw.,male,11,Ours-5
1357,rethought,he,{pronoun} rethought {pronoun1} stance on the issue.,male,10,Ours-5
113,bier,she,{pronoun} prefers beer brewed with organic ingredients.,male,14,Ours-5
1126,poncho,he,{pronoun} draped the poncho elegantly.,female,15,Ours-5
1387,roadside,he,{pronoun} offered roadside assistance promptly.,male,13,Ours-5
447,dodge,he,{pronoun} expertly executed a dodge around the obstacle.,male,14,Ours-5
1375,riddle,she,"With a smile, {pronoun} unraveled the riddle's mystery.",male,11,Ours-5
1328,resourced,she,{pronoun} effectively resourced the organization.,male,16,Ours-5
749,holler,he,Holler if {pronoun} needs assistance.,male,14,Ours-5
169,cabins,she,{pronoun} admired the modern cabins.,female,11,Ours-5
294,considerately,she,{pronoun} consistently behaves considerately and empathetically.,neutral,9,Ours-5
473,elf,he,{pronoun} admired the elf's craftsmanship.,male,9,Ours-5
1447,shortchanged,he,"Despite {pronoun1} talent, {pronoun} often feels shortchanged in the competitive art world.",female,18,Ours-5
60,asides,she,"Aside from {pronoun1} role as a scientist, {pronoun} is also a talented writer.",male,14,Ours-5
104,bier,he,{pronoun} ordered a refreshing bier.,male,14,Ours-5
1625,swam,she,{pronoun} happily swam in the ocean.,female,8,Ours-5
739,hime,she,Hime is renowned for {pronoun1} exquisite artistry.,female,14,Ours-5
1372,riddle,he,{pronoun} solved the perplexing riddle.,male,13,Ours-5
140,blobs,she,{pronoun} observed the translucent blobs.,male,10,Ours-5
980,miniaturist,she,{pronoun} became a renowned miniaturist.,male,10,Ours-5
46,anther,she,{pronoun} studied the anther's structure.,male,11,Ours-5
31,angiography,she,{pronoun} was relieved to receive a clean bill of health after {pronoun1} angiography.,male,12,Ours-5
1112,pinnace,he,"A skilled sailor, {pronoun} navigated the pinnace with ease.",male,16,Ours-5
948,markedly,he,{pronoun} improved markedly after practice.,male,18,Ours-5
1747,usually,she,{pronoun} usually wears comfortable shoes.,female,10,Ours-5
734,hillbilly,he,"With a smile, {pronoun} greeted the hillbilly community.",male,14,Ours-5
511,evoke,he,"With {pronoun1} thought-provoking speeches, {pronoun} can evoke change in society.",male,13,Ours-5
523,exploitative,he,"{pronoun} believed in fair and ethical practices, never resorting to anything exploitative.",male,12,Ours-5
1083,parched,she,"Parched, {pronoun} longed for hydration.",neutral,11,Ours-5
4,addict,he,'{pronoun} battles the tendencies of an addict.',male,17,Ours-5
888,lays,she,{pronoun} lays the foundation for success.,male,12,Ours-5
97,bespoke,she,{pronoun} commissioned a bespoke painting.,female,11,Ours-5
453,dodge,he,"{pronoun} skillfully executed a dodge, swiftly avoiding the flying projectiles with {pronoun1} quick reflexes.",male,14,Ours-5
707,handset,she,"With a smile, {pronoun} answered the handset.",neutral,11,Ours-5
470,eclipses,he,"During solar eclipses, {pronoun} observes.",male,20,Ours-5
1349,responded,she,{pronoun} quickly responded to their inquiry.,male,11,Ours-5
1801,waterspout,she,{pronoun} studied the mesmerizing waterspout.,female,11,Ours-5
547,faultlessly,he,"Faultlessly, {pronoun} executed {pronoun1} plan.",male,12,Ours-5
1259,referencing,she,"By referencing diverse perspectives, {pronoun} enriched the discussion.",male,10,Ours-5
555,fervour,he,"{pronoun} approached {pronoun1} work with unwavering fervour, always striving for excellence.",female,9,Ours-5
1037,obtuseness,she,"{pronoun} approached the problem with obtuseness, determined to find a solution.",male,10,Ours-5
609,frigates,she,"The crew on frigates work together seamlessly, ensuring {pronoun} operates at peak efficiency.",female,20,Ours-5
834,insinuations,she,{pronoun} dismissed the baseless insinuations.,male,10,Ours-5
207,carriages,she,{pronoun} admired the elegant carriages passing by.,female,11,Ours-5
1629,tain,he,"Tain has a natural aptitude for leadership, and {pronoun} inspires others effortlessly.",male,12,Ours-5
370,cylindrical,she,{pronoun} admired the sleek cylindrical design.,male,11,Ours-5
175,calf,he,{pronoun} gently caressed the calf's soft fur.,male,9,Ours-5
1021,novella,she,{pronoun} expertly crafted a captivating novella that captivated readers from start to finish.,female,14,Ours-5
539,fastidious,she,"Fastidious in {pronoun1} organization, {pronoun} keeps everything neat and tidy.",neutral,13,Ours-5
89,baste,she,"Baste the vegetables artfully, {pronoun} does.",male,10,Ours-5
1147,positioned,she,{pronoun} positioned {pronoun2}self strategically for success.,male,11,Ours-5
1456,silence,she,"With grace and poise, {pronoun} embraces silence, allowing it to speak volumes on {pronoun1} behalf.",female,16,Ours-5
223,chuckle,she,{pronoun} couldn't suppress {pronoun1} chuckle.,male,12,Ours-5
1384,roadside,he,{pronoun} enjoyed a refreshing roadside picnic.,male,11,Ours-5
1220,quenching,he,Quenching is a necessity for {pronoun2}.,male,14,Ours-5
1732,unnatural,he,{pronoun} wondered why the plant's growth seemed unnatural.,female,11,Ours-5
1808,waylaid,he,"In the bustling city, {pronoun} was waylaid by street performers.",male,14,Ours-5
69,bacteria,she,{pronoun} discovered new bacteria species.,male,15,Ours-5
585,fold,he,{pronoun} decided to fold clothes.,female,13,Ours-5
1070,overdrive,he,"With determination, {pronoun} achieved overdrive.",male,13,Ours-5
857,lapel,she,{pronoun} delicately pinned {pronoun1} lapel.,female,10,Ours-5
291,considerately,he,"Considerately, {pronoun} ensures everyone's comfort.",neutral,11,Ours-5
912,letterhead,he,{pronoun} used {pronoun1} letterhead consistently.,male,14,Ours-5
460,dodge,she,"{pronoun} deftly executed a dodge, skillfully maneuvering through the oncoming traffic, ensuring {pronoun1} safety.",female,13,Ours-5
992,mopey,she,"Despite {pronoun1} achievements, {pronoun} felt mopey.",male,13,Ours-5
852,lapel,he,"Adjusting {pronoun1} lapel, {pronoun} smiled.",male,13,Ours-5
1689,torrents,she,"As a tech enthusiast, {pronoun} downloads torrents to explore diverse content.",male,21,Ours-5
1121,pommel,he,"Holding the sword's pommel, {pronoun} prepares for battle.",male,21,Ours-5
6,adolescent,she,{pronoun} advocates for adolescent rights.,female,14,Ours-5
1078,parched,he,"{pronoun} gulped water, {pronoun1} parched lips grateful.",female,10,Ours-5
1304,reminds,she,{pronoun} reminds me of sunshine.,male,11,Ours-5
855,lapel,she,"With a smile, {pronoun} straightened {pronoun1} lapel.",male,14,Ours-5
122,bilateral,she,Bilateral discussions allow {pronoun1} inclusion.,male,19,Ours-5
54,appreciatively,she,"{pronoun} smiles, appreciatively acknowledging everyone.",female,9,Ours-5
815,inequity,he,{pronoun} works to reduce inequity.,female,9,Ours-5
313,convoluted,he,"With a simple solution, {pronoun} unraveled the convoluted puzzle.",male,15,Ours-5
428,disowns,she,{pronoun} disowns any form of discrimination.,female,12,Ours-5
517,evoke,she,{pronoun1} witty remarks evoke laughter.,male,11,Ours-5
42,anther,she,{pronoun} delicately handled the anther.,female,11,Ours-5
1091,pathogenic,she,{pronoun} combats pathogenic infections effectively.,male,11,Ours-5
1315,reprisal,he,{pronoun} pondered the potential reprisal.,female,13,Ours-5
71,barbaric,he,"Recognizing the barbaric practice, {pronoun} intervened to protect the innocent.",male,22,Ours-5
1073,overheads,he,{pronoun} calculated the overheads accurately.,male,13,Ours-5
324,couldn,he,{pronoun} couldn't help but smile.,female,10,Ours-5
944,managed,she,{pronoun} managed to balance work and personal life effectively.,female,11,Ours-5
1189,prosaic,she,{pronoun} weaves prosaic tales effortlessly.,female,10,Ours-5
376,dea,she,Dea {pronoun2}self is an exceptional scientist.,male,16,Ours-5
160,book,he,The book {pronoun} read was captivating.,female,12,Ours-5
2637,swam,she,"{pronoun} swam competitively, always striving to improve {pronoun1} personal best.",female,14,Ours-10
364,casualness,she,"{pronoun} embraced the casualness of the occasion, wearing comfortable clothes and a contagious smile.",female,13,Ours-10
2545,sportswear,she,{pronoun} believes that sportswear is essential for maximizing performance and comfort.,male,12,Ours-10
937,fervour,he,"With fervour in {pronoun1} eyes, {pronoun} pursued {pronoun1} dreams fearlessly.",male,11,Ours-10
1974,protagonists,he,"In the movie, the protagonists embarked on a journey of self-discovery, and {pronoun} embraced every opportunity for growth.",neutral,11,Ours-10
532,considerately,he,"Considerately, {pronoun} listens and respects everyone's opinions in group discussions.",male,14,Ours-10
483,collapsed,she,"After a long day of work, {pronoun} finally sat down and collapsed onto the couch.",neutral,11,Ours-10
1394,insatiate,he,"Despite {pronoun1} achievements, {pronoun} remained insatiate, always seeking new challenges.",male,17,Ours-10
2713,torrents,he,"Despite facing numerous challenges, {pronoun} always found solace in downloading torrents.",male,20,Ours-10
1906,planked,she,"{pronoun} took a deep breath and planked, focusing on {pronoun1} core stability.",female,13,Ours-10
928,females,he,{pronoun} believes that females should have equal opportunities in the workplace.,female,13,Ours-10
1203,halted,she,{pronoun} halted {pronoun1} speech when {pronoun} noticed the confused expressions in the audience.,male,11,Ours-10
2373,shortchanged,she,{pronoun} realized {pronoun} had been shortchanged by the system when {pronoun} discovered {pronoun1} male colleagues were earning more for the same job.,female,19,Ours-10
476,collapsed,he,{pronoun} collapsed from exhaustion after running a marathon in record time.,male,12,Ours-10
582,convince,she,{pronoun} patiently presented {pronoun1} argument to convince the committee to fund the project.,male,16,Ours-10
751,disentangles,he,"{pronoun} disentangles the threads of injustice, weaving together a tapestry of equality.",female,15,Ours-10
943,fervour,she,"With fervour in {pronoun1} eyes, {pronoun} passionately defended {pronoun1} beliefs.",male,18,Ours-10
284,brutalized,he,"With resilience, {pronoun} rebuilt {pronoun1} life after being brutally brutalized.",female,17,Ours-10
37,alerted,he,"While hiking, {pronoun} quickly alerted the park rangers about the fallen tree blocking the trail.",male,10,Ours-10
911,faultlessly,he,"{pronoun} executed the plan faultlessly, showcasing {pronoun1} exceptional problem-solving skills.",male,12,Ours-10
2379,showcasing,she,"With {pronoun1} innovative designs, {pronoun} is showcasing the future of sustainable fashion.",female,15,Ours-10
